strata,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,n_obs,n_event,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul
all,"poly(age, degree = 2, raw = TRUE)1","age, degree = 2",Age,nmatrix.2,continuous,NA,NA,NA,NA,Age,4341451,85884,-0.32679062456850405,0.10313885145450337,-3.1684532061388913,0.001532524170878314,-0.5289390588261572,-0.12464219031085091,0.7212347360530114,0.5892297763087487,0.8828127250257795
all,"poly(age, degree = 2, raw = TRUE)2","age, degree = 2",Age,nmatrix.2,continuous,NA,NA,NA,NA,Age²,4341451,85884,0.002992834856443855,7.015613525058058e-4,4.265963120337487,1.990416605315664e-5,0.0016177998725872666,0.004367869840300443,1.0029973178578615,1.0016191092167916,1.0043774228875295
all,sexFemale,sex,Sex,factor,dichotomous,2,contr.treatment,treatment,TRUE,Female,2288356,45461,0,NA,NA,NA,NA,NA,NA,NA,NA
all,sexMale,sex,Sex,factor,dichotomous,2,contr.treatment,treatment,FALSE,Male,2053095,40423,-0.00445625286545583,0.00762750877148359,-0.5842343809706384,0.5590626332357979,-0.019405895349327018,0.010493389618415356,0.9955536614969087,0.9807811869170391,1.0105486383108382
all,imd1 most deprived,imd,IMD,factor,categorical,5,contr.treatment,treatment,TRUE,1 most deprived,862561,15644,0,NA,NA,NA,NA,NA,NA,NA,NA
all,imd2,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,2,849620,16800,0.10816053038270289,0.012653443134537987,8.5479129461194,1.2533419159960914e-17,0.08336023755858282,0.13296082320682295,1.1142265982526591,1.0869332922259762,1.1422052495155164
all,imd3,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,3,879935,18143,0.1680807019205242,0.012404707982967642,13.549750800366153,7.949957005405533e-42,0.14376792103517114,0.19239348280587729,1.183032079756367,1.1546161153155061,1.2121473822927156
all,imd4,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,4,919465,18813,0.17170564423791607,0.01232819262941241,13.927884597476472,4.2887054836399767e-44,0.1475428306897956,0.19586845778603654,1.1873282848485116,1.1589829238047955,1.2163668912163788
all,imd5 least deprived,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,5 least deprived,829870,16484,0.18598535029364616,0.012774085276387808,14.559582644827792,5.0766790886269664e-48,0.1609486032164827,0.21102209737080962,1.2044046160744313,1.174624595336343,1.2349396436791238
all,ethnicity_combinedWhite,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,TRUE,White,4113233,82680,0,NA,NA,NA,NA,NA,NA,NA,NA
all,ethnicity_combinedBlack,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,Black,30584,307,-0.956643720010536,0.06776225814772496,-14.117648174076592,2.956958660131006e-45,-1.0894553054911826,-0.8238321345298892,0.3841801406916728,0.3363996788700764,0.43874709095330955
all,ethnicity_combinedSouth Asian,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,South Asian,158742,2316,-0.5129235618398638,0.026487905562052414,-19.36444392095303,1.540087662004721e-83,-0.5648389027673847,-0.46100822091234284,0.598742556636034,0.5684517153798397,0.6306474928789852
all,ethnicity_combinedMixed,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,Mixed,12449,197,-0.3664070246473608,0.0853479264857755,-4.293098142324852,1.76197074685791e-5,-0.5336858867146529,-0.19912816258006868,0.6932205859148363,0.5864394318556905,0.8194448644346322
all,ethnicity_combinedOther,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,Other,26443,384,-0.524839855057993,0.06256967843200799,-8.388086181844708,4.9411994285843744e-17,-0.6474741713089812,-0.40220553880700477,0.5916501065523739,0.5233660416415218,0.6688432583159478
all,bmiObese I (30-34.9),bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,TRUE,Obese I (30-34.9),760833,15369,0,NA,NA,NA,NA,NA,NA,NA,NA
all,bmiObese III (40+),bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,FALSE,Obese III (40+),135995,2677,-0.08336888164058491,0.03167287111858135,-2.6321858011689803,0.008483745290633773,-0.1454465683199832,-0.021291194961186623,0.9200117091891019,0.8646360877985058,0.978933862453243
all,bmiNot obese,bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,FALSE,Not obese,3164697,62127,-0.03560180733155059,0.009945929058814437,-3.57953561914852,3.442053317233871e-4,-0.05509547007961724,-0.016108144583483943,0.9650244826612596,0.9463947912543015,0.9840208977707631
all,bmiObese II (35-39.9),bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,FALSE,Obese II (35-39.9),279926,5711,-0.022648155219281017,0.027845397029579926,-0.8133536467525342,0.4160153273819281,-0.07722413053247626,0.03192782009391423,0.9776063889746625,0.9256823566746597,1.0324429809781654
all,heart_failure,heart_failure,Heart failure,integer,continuous,NA,NA,NA,NA,Heart failure,4341451,85884,-0.0685881606905316,0.021008471856915487,-3.2647858043970017,0.0010954688296619477,-0.10976400890030925,-0.027412312480753945,0.9337111398560244,0.8960455691265271,0.9729599952612796
all,other_heart_disease,other_heart_disease,Other heart disease,integer,continuous,NA,NA,NA,NA,Other heart disease,4341451,85884,-0.0032550401986191258,0.02294916349041945,-0.14183698678071652,0.8872087681725322,-0.04823457411516276,0.0417244937179245,0.9967502517013886,0.9529102327838197,1.0426071943464719
all,dialysis,dialysis,Dialysis,integer,continuous,NA,NA,NA,NA,Dialysis,4341451,85884,0.037077070489007526,0.09345112507780214,0.39675360203677856,0.6915491686085613,-0.14608376897823247,0.2202379099562475,1.0377729994286677,0.8640853166087323,1.246373219915319
