variable,var_label,var_type,reference_row,row_type,label,N,term,var_class,var_nlevels,header_row,contrasts,contrasts_type,n_obs,n_event,estimate,std.error,statistic,or,or.ll,or.ul,conf.low,conf.high,ci,p.value
"age, degree = 2",Age,continuous,NA,label,Age,9603813,NA,nmatrix.2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"age, degree = 2",Age,continuous,NA,level,Age,9603813,"poly(age, degree = 2, raw = TRUE)1",nmatrix.2,NA,FALSE,NA,NA,92892606.10763863,1628573.510372214,-1.1298127562269882,0.07361000624484357,-15.348630082559358,0.3230937480511574,0.2796865639278664,0.37323770067362894,-1.27408571736865,-0.9855397950853264,"-1.3, -1.0",3.617448496527493e-53
"age, degree = 2",Age,continuous,NA,level,Age²,9603813,"poly(age, degree = 2, raw = TRUE)2",nmatrix.2,NA,FALSE,NA,NA,92892606.10763863,1628573.510372214,0.008655923830157026,4.998396493833123e-4,17.317401372293002,1.0086934946640198,1.0077057941053347,1.0096821633151771,0.007676256119320606,0.009635591540993447,"0.01, 0.01",3.4770898688910075e-67
sex,Sex,dichotomous,NA,label,Sex,9603813,NA,factor,2,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,TRUE,level,Female,9603813,sexFemale,factor,2,FALSE,contr.treatment,treatment,49177441.19712404,864197.4942602043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,FALSE,level,Male,9603813,sexMale,factor,2,FALSE,contr.treatment,treatment,43715164.91050533,764376.0161120131,-2.221080081093429e-4,0.00582149918704934,-0.038153060057699605,0.9997779166560482,0.9884353538390368,1.0112506384467934,-0.011632036750755251,0.011187820734536565,"-0.01, 0.01",0.9695656462698703
imd,Deprivation,categorical,NA,label,Deprivation,9603813,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,TRUE,level,1 most deprived,9603813,imd1 most deprived,factor,5,FALSE,contr.treatment,treatment,16889730.303380016,279707.54256145644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,FALSE,level,2,9603813,imd2,factor,5,FALSE,contr.treatment,treatment,17847510.263160855,308540.3918657236,0.08771683045602312,0.010321443969655756,8.498503766905463,1.0916789480260511,1.0698165359108978,1.1139881330667003,0.0674871720070497,0.10794648890499653,"0.07, 0.11",1.9205001959534336e-17
imd,Deprivation,categorical,FALSE,level,3,9603813,imd3,factor,5,FALSE,contr.treatment,treatment,19137269.52390992,336887.2437789889,0.12919285888968968,0.00990729113181341,13.040179921112552,1.137909558979186,1.1160268525417452,1.1602213346992674,0.10977492508698233,0.14861079269239702,"0.11, 0.15",7.228626393044239e-39
imd,Deprivation,categorical,FALSE,level,4,9603813,imd4,factor,5,FALSE,contr.treatment,treatment,20450601.625875358,366834.08739564015,0.17802686741052376,0.00970822139732226,18.337742839242157,1.1948574235284615,1.1723368952321889,1.2178105699542203,0.15899910311783103,0.1970546317032165,"0.16, 0.20",4.136173278268507e-75
imd,Deprivation,categorical,FALSE,level,5 least deprived,9603813,imd5 least deprived,factor,5,FALSE,contr.treatment,treatment,18567494.39130324,336604.2447704082,0.23195108328797223,0.009874408582268934,23.4901241279885,1.261058040506529,1.236886825476284,1.2857016088871411,0.21259759809809192,0.25130456847785254,"0.21, 0.25",5.146104275598102e-122
ethnicity_combined,Ethnicity,categorical,NA,label,Ethnicity,9603813,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ethnicity_combined,Ethnicity,categorical,TRUE,level,White,9603813,ethnicity_combinedWhite,factor,5,FALSE,contr.treatment,treatment,89006865.20015812,1573560.796579311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ethnicity_combined,Ethnicity,categorical,FALSE,level,Black,9603813,ethnicity_combinedBlack,factor,5,FALSE,contr.treatment,treatment,462724.62075023196,5511.971353200371,-0.9224183889656102,0.05877357583415005,-15.694440501094105,0.39755643148434766,0.35429956997484785,0.446094575349863,-1.037612480843178,-0.8072242970880426,"-1.0, -0.81",1.6509179530905187e-55
ethnicity_combined,Ethnicity,categorical,FALSE,level,South Asian,9603813,ethnicity_combinedSouth Asian,factor,5,FALSE,contr.treatment,treatment,2741175.81158974,39525.79435876623,-0.5270040719846668,0.023436034275349824,-22.48691334860238,0.5903710319737795,0.5638664450372898,0.6181214691197588,-0.5729378551047988,-0.4810702888645349,"-0.57, -0.48",5.574494567494051e-112
ethnicity_combined,Ethnicity,categorical,FALSE,level,Mixed,9603813,ethnicity_combinedMixed,factor,5,FALSE,contr.treatment,treatment,222319.8487534787,3348.982571892393,-0.427226788469458,0.07568610251682523,-5.644719099843783,0.6523155977953273,0.5623848800528409,0.7566270968862008,-0.5755688235326417,-0.2788847534062743,"-0.58, -0.28",1.6545115765047186e-8
