outcome,outcome_var,outcome_descr,strata,model,model_descr,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul,ve,ve.ll,ve.ul
postest,positive_test_1_date,Positive test,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw1-3,-1.0808077688857953,-1.237581106880361,-0.9240344308912296,0.07998786673182458,-13.512146442277563,1.325982430669162e-41,0.3393213217071821,0.2900850547156651,0.396914482471238,0.6606786782928179,0.6030855175287619,0.709914945284335
postest,positive_test_1_date,Positive test,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw4-7,-0.8444142704700424,-0.9753445520747328,-0.7134839888653519,0.06680239159364754,-12.640479634419863,1.2628126021477059e-36,0.4298090363407147,0.3770624135420008,0.48993429492159174,0.5701909636592852,0.5100657050784083,0.6229375864579991
postest,positive_test_1_date,Positive test,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw8-14,-0.6790885174799571,-0.7960395174028869,-0.5621375175570273,0.05966997396147294,-11.380740972309182,5.2154702700898894e-30,0.5070789754112383,0.4511120522740869,0.5699893984386045,0.49292102458876175,0.4300106015613955,0.5488879477259131
postest,positive_test_1_date,Positive test,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw15-21,-0.8141888985036418,-0.9625529424938666,-0.6658248545134171,0.075697331767574,-10.755846731871346,5.562082415635747e-27,0.44299849842452316,0.38191662914990465,0.5138495017700677,0.5570015015754768,0.4861504982299323,0.6180833708500953
postest,positive_test_1_date,Positive test,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw22-28,-1.2881311028172335,-1.5085232922582086,-1.0677389133762585,0.11244706085387308,-11.455444838093033,2.2082662258480945e-30,0.2757857169100707,0.22123643841808807,0.34378496686820303,0.7242142830899293,0.656215033131797,0.778763561581912
postest,positive_test_1_date,Positive test,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw29+,-0.8945895108777412,-1.1967168027123847,-0.5924622190430977,0.15414940999823726,-5.803392376837324,6.4986471444808905e-9,0.4087753620455335,0.30218471705394223,0.552964088470526,0.5912246379544666,0.447035911529474,0.6978152829460578
postest,positive_test_1_date,Positive test,all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw1-3,-1.0881861608016097,-1.2448356860680472,-0.9315366355351722,0.07992469581179504,-13.615142976134024,3.255080898402642e-42,0.33682688977497066,0.28798822472083635,0.3939478907009346,0.6631731102250293,0.6060521092990654,0.7120117752791637
postest,positive_test_1_date,Positive test,all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw4-7,-0.8478607431326028,-0.9779953162887569,-0.7177261699764488,0.06639641043541565,-12.769677420397961,2.4215594314499766e-37,0.42833026099001736,0.37606423354411905,0.4878603071362075,0.5716697390099826,0.5121396928637925,0.6239357664558809
postest,positive_test_1_date,Positive test,all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw8-14,-0.6754261636676269,-0.7898970907718281,-0.5609552365634256,0.05840460743520463,-11.56460411821036,6.22778631675486e-31,0.5089394828687217,0.453891502503209,0.5706636845902412,0.4910605171312783,0.4293363154097588,0.546108497496791
postest,positive_test_1_date,Positive test,all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw15-21,-0.8266965669272305,-0.9731937006228764,-0.6801994332315846,0.0747448090124087,-11.060253920643333,1.9554315924941986e-28,0.4374921278083667,0.37787429158315,0.5065159661759511,0.5625078721916332,0.49348403382404893,0.62212570841685
postest,positive_test_1_date,Positive test,all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw22-28,-1.3221087109856715,-1.5406799293976081,-1.103537492573735,0.11151797693018783,-11.855565778541107,2.0135953421361015e-32,0.26657258433287945,0.21423538695721567,0.3316956350077754,0.7334274156671206,0.6683043649922247,0.7857646130427843
postest,positive_test_1_date,Positive test,all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw29+,-0.9481200829115297,-1.2494175610586238,-0.6468226047644356,0.15372602788810927,-6.167596313628988,6.933588102455664e-10,0.3874687483302003,0.28667171701645333,0.5237071605635771,0.6125312516697997,0.47629283943642287,0.7133282829835467
postest,positive_test_1_date,Positive test,all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw1-3,-0.9940285156920864,-1.1542000999943416,-0.8338569313898312,0.08172169772795228,-12.16358131718165,4.858121721899404e-34,0.3700827995943347,0.3153096522490555,0.4343707132929699,0.6299172004056652,0.56562928670703,0.6846903477509445
postest,positive_test_1_date,Positive test,all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw4-7,-0.7180277845361738,-0.8520533508838485,-0.5840022181884991,0.06838164752253167,-10.500299576718804,8.610642186096851e-26,0.487713183552886,0.4265381995481081,0.5576620093189638,0.5122868164471139,0.4423379906810362,0.5734618004518919
postest,positive_test_1_date,Positive test,all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw8-14,-0.5530685037096142,-0.6695438017703199,-0.4365932056489085,0.05942726446988211,-9.306645840814543,1.3193293185309463e-20,0.5751821511684787,0.5119420715895211,0.6462342623953442,0.4248178488315213,0.3537657376046558,0.4880579284104789
postest,positive_test_1_date,Positive test,all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw15-21,-0.6870931011493966,-0.8370671492626688,-0.5371190530361244,0.07651877753685701,-8.979405098551693,2.722346903099435e-19,0.503036221193787,0.43297852447603064,0.5844295398695531,0.496963778806213,0.41557046013044685,0.5670214755239693
postest,positive_test_1_date,Positive test,all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw22-28,-1.1412401637169436,-1.3666200948327352,-0.915860232601152,0.11499187377602843,-9.924528805746359,3.2563710582162904e-23,0.3194226397096155,0.2549672700433689,0.40017223678044556,0.6805773602903845,0.5998277632195544,0.7450327299566311
postest,positive_test_1_date,Positive test,all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw29+,-0.7864753491591491,-1.0921460394395854,-0.4808046588787128,0.15595729956852664,-5.042888991634386,4.5855530032040757e-7,0.4554472621307506,0.33549573351751666,0.6182856825258742,0.5445527378692494,0.38171431747412576,0.6645042664824834
covidadmitted,covidadmitted_1_date,COVID-related admission,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw1-3,-1.111134267719107,-1.3249310715605143,-0.8973374638776996,0.10908200636736658,-10.186228734893517,2.284553163552787e-24,0.3291853649031926,0.26582128110355396,0.4076536085319441,0.6708146350968074,0.5923463914680559,0.734178718896446
covidadmitted,covidadmitted_1_date,COVID-related admission,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw4-7,-1.2251267452645562,-1.429871381324625,-1.0203821092044874,0.10446346855098788,-11.72780075425679,9.181322905340232e-32,0.29372047028550524,0.23933970381983924,0.36045717984876674,0.7062795297144948,0.6395428201512332,0.7606602961801607
covidadmitted,covidadmitted_1_date,COVID-related admission,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw8-14,-1.0775472671775514,-1.2528598708244398,-0.9022346635306631,0.08944684954914066,-12.04678837330726,2.0165493498834254e-33,0.3404294850587741,0.2856866006759449,0.405662127741297,0.6595705149412259,0.5943378722587029,0.7143133993240551
covidadmitted,covidadmitted_1_date,COVID-related admission,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw15-21,-1.1179127447064487,-1.331906034075876,-0.9039194553370216,0.10918225592785324,-10.238959940937256,1.326546900610401e-24,0.32696153508723375,0.26397363874084184,0.40497924692985754,0.6730384649127663,0.5950207530701425,0.7360263612591582
covidadmitted,covidadmitted_1_date,COVID-related admission,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw22-28,-1.611313617788691,-1.9286623628049249,-1.2939648727724573,0.16191560024543317,-9.951564984141411,2.4824813705501402e-23,0.19962521053626806,0.14534248402552807,0.2741815302582143,0.800374789463732,0.7258184697417858,0.8546575159744719
covidadmitted,covidadmitted_1_date,COVID-related admission,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw29+,-1.5112476405508282,-2.004897155664133,-1.0175981254375235,0.2518666256151384,-6.0001901278499314,1.9708662183109265e-9,0.2206345335763143,0.13467414545635686,0.3614620849568569,0.7793654664236858,0.6385379150431432,0.8653258545436431
covidadmitted,covidadmitted_1_date,COVID-related admission,all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw1-3,-1.1655019592654887,-1.3786038295692076,-0.9524000889617698,0.10872744192476973,-10.719482944075134,8.24630282311199e-27,0.3117661288522504,0.2519300449107279,0.38581392359915007,0.6882338711477496,0.61418607640085,0.7480699550892721
covidadmitted,covidadmitted_1_date,COVID-related admission,all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw4-7,-1.2772636522188583,-1.479327061575881,-1.0752002428618357,0.10309547060602804,-12.389134505237672,2.992556289367868e-35,0.2787991490693811,0.22779092608508972,0.3412294197038202,0.7212008509306189,0.6587705802961799,0.7722090739149103
covidadmitted,covidadmitted_1_date,COVID-related admission,all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw8-14,-1.1274935518976776,-1.2934288709689292,-0.9615582328264262,0.08466243276923871,-13.317518939844849,1.830914581681844e-40,0.32384393805611006,0.27432853144585817,0.3822967143189328,0.67615606194389,0.6177032856810671,0.7256714685541419
covidadmitted,covidadmitted_1_date,COVID-related admission,all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw15-21,-1.2426446074203812,-1.4483249699880538,-1.0369642448527085,0.1049408888071685,-11.841376812652804,2.3850508847012134e-32,0.2886199213665954,0.2349635296200008,0.3545293141636942,0.7113800786334046,0.6454706858363057,0.7650364703799992
covidadmitted,covidadmitted_1_date,COVID-related admission,all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw22-28,-1.8212303714634595,-2.132027235002647,-1.510433507924272,0.15857274214766884,-11.485141436019704,1.5667884451745472e-30,0.1618265216617247,0.11859662675749368,0.2208142324880918,0.8381734783382753,0.7791857675119083,0.8814033732425063
covidadmitted,covidadmitted_1_date,COVID-related admission,all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw29+,-1.789857223805923,-2.2811676344751253,-1.2985468131367206,0.2506731830506052,-7.140202242712941,9.319369835549124e-13,0.1669840093064542,0.1021648458480086,0.27292812055470345,0.8330159906935458,0.7270718794452966,0.8978351541519914
covidadmitted,covidadmitted_1_date,COVID-related admission,all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw1-3,-0.572291092804337,-1.145994884406037,0.0014126987973630545,0.2927113947638847,-1.9551377330765511,0.050566815619230134,0.5642312505549467,0.31790747921298523,1.0014136971263665,0.4357687494450533,-0.00141369712636652,0.6820925207870148
covidadmitted,covidadmitted_1_date,COVID-related admission,all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw4-7,-1.0797941075301323,-1.3126823474605187,-0.8469058675997457,0.11882271397198076,-9.087438516046312,1.0139971524362754e-19,0.33966545300498163,0.2690972750503516,0.4287394584114302,0.6603345469950184,0.5712605415885699,0.7309027249496485
covidadmitted,covidadmitted_1_date,COVID-related admission,all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw8-14,-0.8101977297558984,-1.030699996785383,-0.5896954627264139,0.11250322392083645,-7.201551222443179,5.953135438359218e-13,0.44477011324184473,0.3567571442898866,0.5544961237620581,0.5552298867581553,0.44550387623794185,0.6432428557101134
covidadmitted,covidadmitted_1_date,COVID-related admission,all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw15-21,-0.8988964822165018,-1.16667133116814,-0.6311216332648634,0.1366223313610925,-6.579425729756583,4.7226873809930865e-11,0.4070185642318438,0.3114017713771886,0.5319947632176093,0.5929814357681562,0.4680052367823907,0.6885982286228114
covidadmitted,covidadmitted_1_date,COVID-related admission,all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw22-28,-1.3721225586594166,-1.749813758043319,-0.9944313592755141,0.1927031324876797,-7.120395714102582,1.0761763457779915e-12,0.2535681746289666,0.1738063104636479,0.369933744138214,0.7464318253710334,0.630066255861786,0.8261936895363521
covidadmitted,covidadmitted_1_date,COVID-related admission,all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw29+,-1.3228646343050832,-1.8952401573755282,-0.7504891112346381,0.29203369428482884,-4.529835632647428,5.90295915112619e-6,0.2663711520433407,0.15028223932406226,0.47213556944606894,0.7336288479566593,0.5278644305539311,0.8497177606759377
coviddeath,coviddeath_date,COVID-related death,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw1-3,-4.753744151931931,-6.141970751772556,-3.3655175520913065,0.7082918924994435,-6.711560872392262,1.925534341347632e-11,0.008619362508843044,0.0021506809807230434,0.034544133102377715,0.9913806374911569,0.9654558668976223,0.997849319019277
coviddeath,coviddeath_date,COVID-related death,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw4-7,-3.796780750233421,-4.497355421673129,-3.0962060787937133,0.357442624949107,-10.622070467320484,2.352837118594337e-26,0.022442905003253813,0.011138414031007536,0.04522044014371352,0.9775570949967461,0.9547795598562865,0.9888615859689924
coviddeath,coviddeath_date,COVID-related death,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw8-14,-3.10056706914033,-3.4635901990889373,-2.737543939191723,0.18521928607468663,-16.739979593108234,6.70111562736646e-63,0.04502366362289266,0.031317125230636435,0.06472913050283166,0.9549763363771073,0.9352708694971683,0.9686828747693635
coviddeath,coviddeath_date,COVID-related death,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw15-21,-2.6796788052251634,-3.016992912368993,-2.342364698081334,0.1721021966753065,-15.570276597228629,1.1590493161847779e-54,0.06858517981821331,0.04894818876782293,0.09610012155932673,0.9314148201817867,0.9038998784406733,0.9510518112321771
coviddeath,coviddeath_date,COVID-related death,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw22-28,-2.5571120671392222,-2.9515436326232725,-2.162680501655172,0.20124429254582035,-12.706507274272166,5.4410862488312364e-37,0.07752831402087407,0.05225897499633408,0.11501640580093465,0.922471685979126,0.8849835941990654,0.947741025003666
coviddeath,coviddeath_date,COVID-related death,all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw29+,-2.081710071355484,-2.593724421058494,-1.5696957216524736,0.26123661135700166,-7.968676597594712,1.6038255811871288e-15,0.12471675518664645,0.07474115353606937,0.20810849563325992,0.8752832448133535,0.79189150436674,0.9252588464639306
coviddeath,coviddeath_date,COVID-related death,all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw1-3,-4.769288569785999,-6.157169322768387,-3.3814078168036117,0.7081154367783358,-6.735185143660339,1.6372132708531264e-11,0.008486415505234202,0.0021182408494282647,0.03399955588002103,0.9915135844947658,0.966000444119979,0.9978817591505718
coviddeath,coviddeath_date,COVID-related death,all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw4-7,-3.7902169781746746,-4.489467336351254,-3.0909666199980954,0.35676694250107505,-10.623789725594472,2.3098884398681877e-26,0.022590699630533204,0.011226622230764446,0.04545799255616556,0.9774093003694668,0.9545420074438344,0.9887733777692356
coviddeath,coviddeath_date,COVID-related death,all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw8-14,-3.06066713495175,-3.419889819723459,-2.7014444501800408,0.18328024780312896,-16.69938343950394,1.3242611332985251e-62,0.046856425231511144,0.03271603940271449,0.06710850780103991,0.9531435747684889,0.9328914921989601,0.9672839605972855
coviddeath,coviddeath_date,COVID-related death,all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw15-21,-2.7409564108337117,-3.075207811257237,-2.406705010410186,0.1705395624919938,-16.072261302783566,3.9925216681354685e-58,0.06450862063639888,0.04618003065422724,0.09011172312918127,0.9354913793636012,0.9098882768708187,0.9538199693457727
