strata,model,model_descr,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul,ve,ve.ll,ve.ul
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw1-3,-1.586619157841588,-1.9174075155910777,-1.2558308000920984,0.16877267151779626,-9.400924590295928,5.408568152517024e-21,0.2046162187984748,0.14698753149082955,0.2848391055400329,0.7953837812015252,0.7151608944599671,0.8530124685091705
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw4-7,-1.3150217667616981,-1.5569300600491496,-1.0731134734742467,0.12342486657693372,-10.65443134137004,1.6625762797943512e-26,0.2684684794862206,0.21078216755192947,0.34194223028798854,0.7315315205137793,0.6580577697120115,0.7892178324480705
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw8-14,-1.4230609348352927,-1.616672737941041,-1.2294491317295444,0.09878334736399927,-14.405878853158958,4.75233935390473e-47,0.24097527723630938,0.19855825656841172,0.29245363674468455,0.7590247227636906,0.7075463632553154,0.8014417434315882
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw15-21,-1.4560245238780838,-1.6467850373109143,-1.2652640104452533,0.09732858100328631,-14.95988648831653,1.3425483712240567e-50,0.23316136210760902,0.19266833548839404,0.28216479185366905,0.766838637892391,0.717835208146331,0.807331664511606
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw22-28,-1.660039230519456,-1.8669442076062723,-1.4531342534326397,0.10556570361438089,-15.72517563643003,1.0166851718295214e-55,0.19013152099687555,0.15459535205527522,0.23383623631621198,0.8098684790031244,0.766163763683788,0.8454046479447248
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw29+,-1.5100637950493128,-1.6892811363936562,-1.3308464537049693,0.09143909926814324,-16.514421151733817,2.8891971468709484e-61,0.22089588544596167,0.18465221605147936,0.26425348826223577,0.7791041145540383,0.7357465117377642,0.8153477839485206
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw1-3,-1.5652911113470038,-1.894095539139483,-1.2364866835545247,0.16776044375613355,-9.330513655664879,1.0535905689041786e-20,0.20902715413893322,0.1504543535995242,0.2904027043559046,0.7909728458610668,0.7095972956440955,0.8495456464004758
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw4-7,-1.2813876528824497,-1.5212628423056804,-1.041512463459219,0.12238754962608274,-10.469918360138207,1.187453705584356e-25,0.27765174875961873,0.21843586265288056,0.3529204987359609,0.7223482512403813,0.6470795012640391,0.7815641373471194
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw8-14,-1.3904351072077277,-1.5838507943459115,-1.1970194200695439,0.0986832863582301,-14.089874370015513,4.383407067874778e-45,0.2489669537451912,0.2051834556658709,0.30209328454872275,0.7510330462548088,0.6979067154512772,0.7948165443341291
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw15-21,-1.445673543196986,-1.6390923993061386,-1.2522546870878335,0.09868490320986295,-14.649389077502788,1.3593241777295788e-48,0.23558734485211363,0.19415617863051154,0.2858595458869765,0.7644126551478864,0.7141404541130235,0.8058438213694885
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw22-28,-1.6767172564378323,-1.8863473912773534,-1.4670871215983112,0.10695611577205341,-15.676684258161348,2.183591757488522e-55,0.18698679932992887,0.15162462403726745,0.23059620655717078,0.8130132006700711,0.7694037934428293,0.8483753759627326
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw29+,-1.6799383496610036,-1.870022708224006,-1.4898539910980013,0.0969835976897349,-17.321881118860727,3.216684404967722e-67,0.18638546641240195,0.15412016198023198,0.2254055643558462,0.813614533587598,0.7745944356441539,0.8458798380197681
all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw1-3,-1.4454655700047632,-1.7797505852436397,-1.1111805547658866,0.1705567132231379,-8.474984904954594,2.3511002051601888e-17,0.23563634579953496,0.16868021335674305,0.32917012823744096,0.764363654200465,0.670829871762559,0.8313197866432569
all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw4-7,-1.1460328682541816,-1.3923632546533535,-0.8997024818550098,0.12568107799030726,-9.118579237063559,7.611558790030508e-20,0.317895404092902,0.24848737125074374,0.4066906395875319,0.6821045959070979,0.5933093604124682,0.7515126287492563
