strata,model,model_descr,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul,ve,ve.ll,ve.ul
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw1-3,-1.0808077688857953,-1.237581106880361,-0.9240344308912296,0.07998786673182458,-13.512146442277563,1.325982430669162e-41,0.3393213217071821,0.2900850547156651,0.396914482471238,0.6606786782928179,0.6030855175287619,0.709914945284335
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw4-7,-0.8444142704700424,-0.9753445520747328,-0.7134839888653519,0.06680239159364754,-12.640479634419863,1.2628126021477059e-36,0.4298090363407147,0.3770624135420008,0.48993429492159174,0.5701909636592852,0.5100657050784083,0.6229375864579991
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw8-14,-0.6790885174799571,-0.7960395174028869,-0.5621375175570273,0.05966997396147294,-11.380740972309182,5.2154702700898894e-30,0.5070789754112383,0.4511120522740869,0.5699893984386045,0.49292102458876175,0.4300106015613955,0.5488879477259131
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw15-21,-0.8141888985036418,-0.9625529424938666,-0.6658248545134171,0.075697331767574,-10.755846731871346,5.562082415635747e-27,0.44299849842452316,0.38191662914990465,0.5138495017700677,0.5570015015754768,0.4861504982299323,0.6180833708500953
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw22-28,-1.2881311028172335,-1.5085232922582086,-1.0677389133762585,0.11244706085387308,-11.455444838093033,2.2082662258480945e-30,0.2757857169100707,0.22123643841808807,0.34378496686820303,0.7242142830899293,0.656215033131797,0.778763561581912
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw29+,-0.8945895108777412,-1.1967168027123847,-0.5924622190430977,0.15414940999823726,-5.803392376837324,6.4986471444808905e-9,0.4087753620455335,0.30218471705394223,0.552964088470526,0.5912246379544666,0.447035911529474,0.6978152829460578
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw1-3,-1.0881861608016097,-1.2448356860680472,-0.9315366355351722,0.07992469581179504,-13.615142976134024,3.255080898402642e-42,0.33682688977497066,0.28798822472083635,0.3939478907009346,0.6631731102250293,0.6060521092990654,0.7120117752791637
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw4-7,-0.8478607431326028,-0.9779953162887569,-0.7177261699764488,0.06639641043541565,-12.769677420397961,2.4215594314499766e-37,0.42833026099001736,0.37606423354411905,0.4878603071362075,0.5716697390099826,0.5121396928637925,0.6239357664558809
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw8-14,-0.6754261636676269,-0.7898970907718281,-0.5609552365634256,0.05840460743520463,-11.56460411821036,6.22778631675486e-31,0.5089394828687217,0.453891502503209,0.5706636845902412,0.4910605171312783,0.4293363154097588,0.546108497496791
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw15-21,-0.8266965669272305,-0.9731937006228764,-0.6801994332315846,0.0747448090124087,-11.060253920643333,1.9554315924941986e-28,0.4374921278083667,0.37787429158315,0.5065159661759511,0.5625078721916332,0.49348403382404893,0.62212570841685
