term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,model,hr,hr.ll,hr.ul
"tt(vaxtime)Dose 1 (0,1]",-1.5485531828357002,0.123686656180657,0.12368456811376168,-12.520181025424153,5.7902936608230736e-36,-1.7909704817820642,-1.3061358838893362,Unadjusted,0.21255528009274713,0.16679821646307658,0.27086468940336317
"tt(vaxtime)Dose 1 (1,2]",-1.5170078035592773,0.12105830866962111,0.12118654331461588,-12.517955889053866,5.954904610152789e-36,-1.7545290638668276,-1.279486543251727,Unadjusted,0.21936729594912807,0.17298868973656584,0.27818009723823267
"tt(vaxtime)Dose 1 (2,3]",-1.1107112442976217,0.0994096882735652,0.09947193015086983,-11.166077129628404,5.976236985183683e-29,-1.3056726448660103,-0.915749843729233,Unadjusted,0.32932464748037593,0.27099019356450404,0.4002164137805168
"tt(vaxtime)Dose 1 (3, Inf]",-0.8181048979340835,0.026523408462575344,0.026652612472938396,-30.695110986389885,6.614351231529033e-207,-0.8703430584749459,-0.7658667373932212,Unadjusted,0.4412671088299179,0.418807849018278,0.4649307833927835
"tt(vaxtime)Dose 2 (0,1]",-2.810308686069636,0.4475544415446081,0.4474233946039697,-6.2810946409209105,3.361973926343019e-10,-3.6872424253340688,-1.9333749468052026,Unadjusted,0.06018641081798362,0.02504095923607372,0.14465915674399177
"tt(vaxtime)Dose 2 (1,2]",-2.3583886348199727,0.3539872300289143,0.3540456369510343,-6.661256032216394,2.7149719098398967e-11,-3.0523053321275433,-1.6644719375124022,Unadjusted,0.09457249130306691,0.047249872090399415,0.18929058885401656
"tt(vaxtime)Dose 2 (2,3]",-2.020979401025916,0.30203254844626093,0.3019738938304087,-6.692563305359491,2.1929482813067425e-11,-2.612837357204839,-1.4291214448469933,Unadjusted,0.13252560578407313,0.07332619571420235,0.2395192607139964
"tt(vaxtime)Dose 2 (3, Inf]",-2.04341900582278,0.1002584774791108,0.10031701602244135,-20.36961511460487,3.111133609670175e-92,-2.2400367442632927,-1.8468012673822676,Unadjusted,0.12958490108526735,0.10645459271180427,0.15774093124134894
"tt(vaxtime)Dose 1 (0,1]",-1.5056108805445507,0.12369029968694731,0.12368641824624488,-12.17280686022502,4.339006612116449e-34,-1.7480318056839483,-1.263189955405153,Minimally adjusted,0.2218817092038158,0.17411630114093396,0.2827506244768978
"tt(vaxtime)Dose 1 (1,2]",-1.4719664912570594,0.12106120243064647,0.1212207698532736,-12.142857144355188,6.260125282760072e-34,-1.7095548343476943,-1.2343781481664244,Minimally adjusted,0.22947378301008392,0.18094632577964123,0.29101567474261364
"tt(vaxtime)Dose 1 (2,3]",-1.066055304291505,0.0994117840688738,0.09948056602386617,-10.716216713481003,8.542652736367708e-27,-1.2610336308599417,-0.8710769777230685,Minimally adjusted,0.34436425387122016,0.2833609844191927,0.4185005906418287
"tt(vaxtime)Dose 1 (3, Inf]",-0.775008638633182,0.026547427737963723,0.026661778034502714,-29.06815283025205,9.074409255993012e-186,-0.8272647633446085,-0.7227525139217557,Minimally adjusted,0.4606998011651864,0.43724361695688857,0.48541430580693684
"tt(vaxtime)Dose 2 (0,1]",-2.776156293926837,0.4475579498448528,0.44741824711111033,-6.204834764455674,5.475440135025375e-10,-3.653079944290655,-1.899232643563019,Minimally adjusted,0.06227742403348804,0.02591120070026356,0.14968343571231812
"tt(vaxtime)Dose 2 (1,2]",-2.3241389337889626,0.35399167779807816,0.35405594982065675,-6.564326725666467,5.226848355138525e-11,-3.0180758439495703,-1.630202023628355,Minimally adjusted,0.09786767833146323,0.04889520991980553,0.19588999572146334
"tt(vaxtime)Dose 2 (2,3]",-1.9858710668180812,0.3020379395584759,0.3019718847380311,-6.576344246554208,4.8215555142813026e-11,-2.5777250852483027,-1.39401704838786,Minimally adjusted,0.1372609985266984,0.07594657964538033,0.24807676401648635
"tt(vaxtime)Dose 2 (3, Inf]",-1.998553039871219,0.1002687371700309,0.10032380336344854,-19.92102544827723,2.674572261739729e-88,-2.1951840812556567,-1.8019219984867816,Minimally adjusted,0.13553124973914008,0.11133806436770992,0.16498148912655622
age,0.06499192883198184,0.0016653861693242636,0.001634557963863257,39.761164956410745,0,0.061788254092166685,0.06819560357179699,Minimally adjusted,1.067150411199164,1.0637370789058485,1.0705746962340692
sexMale,0.07697757012969539,0.015830057622328256,0.015810164545492503,4.868865843122537,1.1224057187510612e-6,0.0459902170308781,0.10796492322851271,Minimally adjusted,1.0800178514605854,1.0470641675104122,1.1140086688736197
imd2,-0.08835258701193414,0.025851050508231683,0.025849667558036474,-3.4179390049627916,6.309724559661208e-4,-0.13901700443801912,-0.03768816958584926,Minimally adjusted,0.9154380482480637,0.8702132308454921,0.9630131908773717
imd3,-0.21848754137094828,0.024964075675986973,0.024962171195796704,-8.7527458912604,2.0822318453611407e-18,-0.2674124978906329,-0.16956258485126358,Minimally adjusted,0.8037334927997228,0.7653572980708871,0.8440339290894316
imd4,-0.3531387281144742,0.025624143675015962,0.025624666352345424,-13.781202972898473,3.3071494917586673e-43,-0.40336215128092656,-0.3029153049480219,Minimally adjusted,0.7024797329283402,0.6680701130611938,0.7386616547084941
