stratum,model,model_descr,model_descr_wrap,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",(Intercept),-8.025753024548303,-8.189093906817321,-7.862412142279284,0.0833387161995988,-96.3028156724466,0,3.269337442567959e-4,2.7766536098339223e-4,3.8494421038049863e-4
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",timesincevax_pw1-3,-1.329763608168673,-1.4530520001140848,-1.2064752162232613,0.06290339665315019,-21.139774303460904,3.4271274914990302e-99,0.26453978895418917,0.23385547091369127,0.2992502149575746
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",timesincevax_pw4-7,-1.2376033794386934,-1.3404249122440541,-1.1347818466333326,0.052460929698914895,-23.590954002179874,4.772964251304376e-123,0.2900785938513129,0.2617344307845181,0.3214922483012207
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",timesincevax_pw8-14,-1.1995396653854344,-1.2807070646877772,-1.1183722660830917,0.041412699387632056,-28.965502928400706,1.790315531994823e-184,0.3013328939512746,0.2778407795808308,0.32681132378781597
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",timesincevax_pw15-21,-1.4568552654042148,-1.5508646201078975,-1.3628459107005322,0.04796483784662192,-30.37340124161013,1.2336751436532418e-202,0.23296774571554052,0.21206453927274138,0.25593138169120144
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",timesincevax_pw22-28,-1.764587353165938,-1.8862325913975904,-1.6429421149342855,0.062065037516594423,-28.431262169045457,8.30865973189979e-178,0.1712574407470434,0.15164203152504568,0.19341016943829978
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",timesincevax_pw29-35,-1.9897071819424699,-2.1328554775602724,-1.8465588863246671,0.07303618676003144,-27.242758284737334,2.024876467754062e-163,0.13673545819534605,0.11849844065059131,0.1577791692889921
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",timesincevax_pw36+,-2.1350748788550655,-2.2506971945773557,-2.0194525631327753,0.05899206140230342,-36.19257961329181,7.965380596132564e-287,0.11823573668857147,0.1053257664043324,0.13272810545354052
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)1",1.261492577595671,1.0836081499414092,1.4393770052499326,0.09075902876654443,13.899361801684263,6.390865518120416e-44,3.530687381392836,2.9553235875072366,4.218067164564285
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)2",1.4654523815727214,1.183213380972207,1.7476913821732358,0.14400213617534793,10.176601684493592,2.5221597575740365e-24,4.329501383998509,3.2648485670779377,5.741332821087483
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)3",0.15830360285253958,-0.21437908617468154,0.5309862918797608,0.19014772310455433,0.8325295736804327,0.4051100924641232,1.1715218180865852,0.8070423884149741,1.7006087783671524
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)4",0.032041467481000736,-0.4803750911687114,0.5444580261307129,0.26144182377410435,0.12255677771237466,0.9024580827240801,1.0325603220928987,0.618551335144452,1.723673942942185
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)5",-1.0280175944455359,-1.649691107333969,-0.4063440815571028,0.31718619208930093,-3.241054056212216,0.0011908859913869303,0.35771539512104905,0.19210924059217263,0.6660809418233778
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",regionNorth East and Yorkshire,-1.5955190581357297,-1.8301008089046675,-1.3609373073667919,0.11968676599125745,-13.330789289204077,1.5326747136687026e-40,0.20280323450923185,0.1603973974741804,0.2564203196253677
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",regionEast of England,-1.1543262853461644,-1.3712132487934972,-0.9374393218988317,0.1106586473823547,-10.43141510087019,1.782141482981423e-25,0.315269867299845,0.25379885153433834,0.39162938928356017
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",regionSouth East,-0.2689338619818456,-0.6087730900790407,0.07090536611534953,0.17339054736607595,-1.5510295461150543,0.12089460351031922,0.7641937962400224,0.5440179207688234,1.073479633513581
