strata,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,n_obs,n_event,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul
all,"poly(age, degree = 2, raw = TRUE)1","age, degree = 2",Age,nmatrix.2,continuous,NA,NA,NA,NA,Age,2995894,91988,0.5282589983476744,0.032993979142930355,16.010769603122117,1.0747220233157001e-57,0.4635919875208652,0.5929260091744837,1.6959770379740675,1.5897741903851768,1.8092746320396615
all,"poly(age, degree = 2, raw = TRUE)2","age, degree = 2",Age,nmatrix.2,continuous,NA,NA,NA,NA,Age²,2995894,91988,-0.0032556884722022695,1.9143957464448101e-4,-17.006350323585654,7.368756528865127e-65,-0.0036309031437211196,-0.0028804738006834195,0.9967496055347409,0.9963756806143587,0.9971236707835643
all,sexFemale,sex,Sex,factor,dichotomous,2,contr.treatment,treatment,TRUE,Female,1852552,53460,0,NA,NA,NA,NA,NA,NA,NA,NA
all,sexMale,sex,Sex,factor,dichotomous,2,contr.treatment,treatment,FALSE,Male,1143342,38528,0.09324167447771846,0.0071038949076450125,13.125429878949136,2.3544290775947593e-39,0.07931829630877674,0.10716505264666018,1.0977269958118294,1.0825488385376232,1.1131179623839071
all,imd1 most deprived,imd,IMD,factor,categorical,5,contr.treatment,treatment,TRUE,1 most deprived,657055,15070,0,NA,NA,NA,NA,NA,NA,NA,NA
all,imd2,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,2,571347,16110,0.11369242126794883,0.011736069108353892,9.687436246180678,3.4098034011493523e-22,0.09069014849550211,0.13669469404039555,1.1204074583753987,1.0949296870811949,1.146478068495491
all,imd3,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,3,632928,20154,0.16528028911202983,0.011282188873538913,14.649665146067168,1.3538125198279746e-48,0.14316760525311503,0.18739297297094462,1.17972373609343,1.1539231890473627,1.206101157089336
all,imd4,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,4,582632,19957,0.2259792110727255,0.011389664163965958,19.840726453345926,1.3252982890076839e-87,0.20365587951534572,0.2483025426301053,1.2535496050557313,1.2258762317414287,1.2818476871055193
all,imd5 least deprived,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,5 least deprived,551932,20697,0.31609469375759264,0.011452373543207323,27.600801926782765,1.0883169887921484e-167,0.2936484540754069,0.33854093343977837,1.3717601465988107,1.341312287906109,1.4028991732673297
all,ethnicity_combinedWhite,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,TRUE,White,2785301,89790,0,NA,NA,NA,NA,NA,NA,NA,NA
