stratum,model,model_descr,model_descr_wrap,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul,term_left,term_right,term_midpoint,ve,ve.ll,ve.ul,diff,diff.std.error,z,diff.ll,diff.ul,diff.p.value
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",1-3,-1.8450469062060755,-2.0462304315401814,-1.6438633808719694,0.10264654193700297,-17.974759513461564,3.071928475566326e-72,0.1580179086952213,0.12922109440912286,0.19323206928859193,0,3,1.5,0.8419820913047786,0.8067679307114081,0.8707789055908771,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",4-7,-1.5666086286405203,-1.7161753870647425,-1.4170418702162981,0.07631097285663702,-20.52927082431065,1.1793122760021985e-93,0.20875193858897503,0.17975231794803917,0.24243009693623016,3,7,5,0.791248061411025,0.7575699030637698,0.8202476820519609,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",8-14,-1.4881114762735899,-1.5998053958769223,-1.3764175566702574,0.05698774083828064,-26.112835048094656,2.6064973776590906e-150,0.22579867929807854,0.20193581171272798,0.2524814352656149,7,14,10.5,0.7742013207019215,0.7475185647343852,0.798064188287272,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",15-21,-1.4568594117365201,-1.5685925535759415,-1.3451262698970987,0.057007752550943855,-25.555461258267048,4.7744823078139525e-144,0.23296677975585298,0.20833820096059416,0.2605068116148205,14,21,17.5,0.767033220244147,0.7394931883851795,0.7916617990394058,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",22-28,-1.4576805789580636,-1.5751691542027082,-1.340192003713419,0.059944252124722465,-24.31727025178584,1.2873471988580257e-130,0.232775553597681,0.20697253944502578,0.2617953980658331,21,28,24.5,0.767224446402319,0.7382046019341669,0.7930274605549742,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",29-35,-1.3160344164053002,-1.4352286057664576,-1.1968402270441427,0.06081447939928798,-21.64014934280122,7.52591241520424e-104,0.26819675258144754,0.2380609356909425,0.30214742240875303,28,35,31.5,0.7318032474185525,0.697852577591247,0.7619390643090576,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",36+,-1.0671333219225363,-1.1492482642571313,-0.9850183795879411,0.04189614859370241,-25.47091696354499,4.141254182361616e-143,0.3439932231588068,0.31687488604529296,0.373432363340624,35,42,38.5,0.6560067768411932,0.626567636659376,0.683125113954707,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",1-3,-1.8999805764134257,-2.1017793144753556,-1.6981818383514957,0.10296043174961007,-18.45350241958966,4.887253179309464e-76,0.1495715244098738,0.12223873348874804,0.1830159743626006,0,3,1.5,0.8504284755901261,0.8169840256373995,0.877761266511252,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",4-7,-1.6151756125616163,-1.7647873738828217,-1.465563851240411,0.07633393394027842,-21.159339355224187,2.263719552065795e-99,0.19885574580739385,0.17122318913660353,0.2309477345914084,3,7,5,0.8011442541926062,0.7690522654085916,0.8287768108633965,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",8-14,-1.5324727217460987,-1.6441608617502703,-1.4207845817419271,0.056984792009013165,-26.892661492977123,2.676168042069293e-159,0.21600089630506428,0.19317459499208,0.24152444686892705,7,14,10.5,0.7839991036949358,0.758475553131073,0.80682540500792,0,NA,NA,NA,NA,NA
