strata,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,n_obs,n_event,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul
all,"poly(age, degree = 2, raw = TRUE)1","age, degree = 2",Age,nmatrix.2,continuous,NA,NA,NA,NA,Age,3001316,91813,0.5301404667665085,0.03303199612889211,16.04930155289072,5.7810956978069535e-58,0.46539894401641346,0.5948819895166035,1.6991709689079864,1.5926494401282185,1.8128170009259967
all,"poly(age, degree = 2, raw = TRUE)2","age, degree = 2",Age,nmatrix.2,continuous,NA,NA,NA,NA,Age²,3001316,91813,-0.0032665503931606525,1.9166142903624122e-4,-17.043337355806635,3.917261171164738e-65,-0.0036421998912971646,-0.0028909008950241404,0.996738778978109,0.9963644248733806,0.9971132737351853
all,sexFemale,sex,Sex,factor,dichotomous,2,contr.treatment,treatment,TRUE,Female,1856195,53352,0,NA,NA,NA,NA,NA,NA,NA,NA
all,sexMale,sex,Sex,factor,dichotomous,2,contr.treatment,treatment,FALSE,Male,1145121,38461,0.0935684027573517,0.007111189311497566,13.157911941124636,1.5326309587445174e-39,0.0796307278195703,0.10750607769513311,1.0980857128629895,1.0828871137479212,1.1134976282250866
all,imd1 most deprived,imd,IMD,factor,categorical,5,contr.treatment,treatment,TRUE,1 most deprived,658822,15055,0,NA,NA,NA,NA,NA,NA,NA,NA
all,imd2,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,2,572101,16055,0.1125773814605219,0.011749246939408554,9.58166783293338,9.549027643221488e-22,0.08954928061381368,0.13560548230723013,1.1191588557089776,1.0936812292666218,1.1452299909652053
all,imd3,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,3,633684,20119,0.16496368372241868,0.01129056599128867,14.610754133114122,2.3984826873635005e-48,0.14283458101442012,0.18709278643041724,1.1793502883212388,1.1535389686367237,1.2057391560920951
all,imd4,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,4,583641,19905,0.22502664294611077,0.011399567366621314,19.739928341930206,9.791677726729104e-87,0.2026839014681949,0.24736938442402664,1.2523560822029876,1.224685285836051,1.2806520783501745
all,imd5 least deprived,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,5 least deprived,553068,20679,0.3158328163093209,0.011459315589680469,27.561228577537378,3.2463674436074467e-167,0.2933729704660688,0.33829266215257303,1.3714009605853896,1.3409428292480259,1.4025509169165784
all,ethnicity_combinedWhite,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,TRUE,White,2790134,89614,0,NA,NA,NA,NA,NA,NA,NA,NA
all,ethnicity_combinedBlack,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,Black,39718,372,-0.7912739999334414,0.05387691578248442,-14.686698160823218,7.844408844570341e-49,-0.8968708144652084,-0.6856771854016743,0.45326696519927223,0.4078438842414366,0.5037489825870108
all,ethnicity_combinedSouth Asian,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,South Asian,140475,1392,-0.752228041053188,0.028119857672009967,-26.75077697146181,1.2093437634670909e-157,-0.8073419493407198,-0.6971141327656561,0.47131527225229275,0.4460420944054772,0.49802045287751906
all,ethnicity_combinedMixed,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,Mixed,10888,152,-0.500577213085071,0.08423733965721295,-5.942462275305347,2.8077228411216326e-9,-0.6656793649666759,-0.33547506120346604,0.6061806633003225,0.513924266939817,0.7149983376874667
all,ethnicity_combinedOther,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,Other,20101,283,-0.4411136023903852,0.06272645516388316,-7.032337492018376,2.0310179868256285e-12,-0.5640551953894627,-0.31817200939130774,0.6433196197750292,0.5688973897995298,0.7274776446651051
all,bmiNot obese,bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,TRUE,Not obese,2444358,74004,0,NA,NA,NA,NA,NA,NA,NA,NA
all,bmiObese I (30-34.9),bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,FALSE,Obese I (30-34.9),392925,13268,0.037548436987471644,0.009787805119967786,3.836246893685111,1.2492881999991954e-4,0.018364691464638046,0.05673218251030524,1.0382622861612365,1.018534359452894,1.0583723218172034
all,bmiObese II (35-39.9),bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,FALSE,Obese II (35-39.9),120867,3452,-0.10236693732681172,0.02458856754099043,-4.1631923924059695,3.138287195306641e-5,-0.15055964413858355,-0.05417423051503989,0.9026982572050252,0.8602264210134198,0.9472670492973356
all,bmiObese III (40+),bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,FALSE,Obese III (40+),43166,1089,-0.2118327573172537,0.03588848686362801,-5.90252684996704,3.579758344757138e-9,-0.2821728990296034,-0.141492615604904,0.8091000023068164,0.7541432826184848,0.8680615856709407
all,heart_failure,heart_failure,Heart failure,integer,continuous,NA,NA,NA,NA,Heart failure,3001316,91813,-0.06366412954530686,0.014099740454781068,-4.515269607230184,6.323626284717877e-6,-0.09129911302804014,-0.03602914606257357,0.9383201006100356,0.9127446562462423,0.9646121784264918
all,other_heart_disease,other_heart_disease,Other heart disease,integer,continuous,NA,NA,NA,NA,Other heart disease,3001316,91813,0.012773929074763851,0.016452705068171453,0.7764029697144228,0.4375110917508803,-0.019472780307111803,0.045020638456639506,1.0128558642129544,0.9807155896025174,1.0460494485321246
all,dialysis,dialysis,Dialysis,integer,continuous,NA,NA,NA,NA,Dialysis,3001316,91813,0.044025049177300005,0.08852708842148022,0.4973059654655689,0.6189733056399898,-0.12948485578499402,0.217534954139594,1.0450085311645725,0.8785478932336889,1.243008877054196
all,diabetes,diabetes,Diabetes,integer,continuous,NA,NA,NA,NA,Diabetes,3001316,91813,-0.0314286688321527,0.01831274943515907,-1.716217924754219,0.08612216367530302,-0.06732099818297069,0.0044636605186652925,0.9690600781755343,0.9348950535524485,1.0044736374903598
all,chronic_liver_disease,chronic_liver_disease,Chronic liver disease,integer,continuous,NA,NA,NA,NA,Chronic liver disease,3001316,91813,-0.1073197075139801,0.046950811416313375,-2.2857902616927115,0.022266531672723577,-0.19934160693488628,-0.015297808093073892,0.8982384534967081,0.8192699772192427,0.9848186089751506
all,current_copd,current_copd,COPD,integer,continuous,NA,NA,NA,NA,COPD,3001316,91813,-0.036997483147350824,0.018567549070594807,-1.9925884136179972,0.046306534950817546,-0.0733892106068968,-6.057556878048542e-4,0.9636785607829399,0.9292390899236754,0.9993944277451314
all,other_resp_conditions,other_resp_conditions,Other respiratory conditions,integer,continuous,NA,NA,NA,NA,Other respiratory conditions,3001316,91813,-0.05808337487866881,0.018824773320892683,-3.085475393969549,0.00203227038812886,-0.09497925260474893,-0.02118749715258869,0.9435712740166642,0.9093918017836566,0.9790353810130769
all,lung_cancer,lung_cancer,Lung Cancer,integer,continuous,NA,NA,NA,NA,Lung Cancer,3001316,91813,-0.03655386377949296,0.04753003392665019,-0.7690687500013993,0.44185249843854013,-0.1297110184596942,0.056603290900708286,0.9641061620959921,0.8783492209592763,1.0582359152961083
all,haematological_cancer,haematological_cancer,Haematological cancer,integer,continuous,NA,NA,NA,NA,Haematological cancer,3001316,91813,-0.012999465220722834,0.030214739938889484,-0.4302358798061731,0.6670240645069033,-0.07221926730319016,0.046220336861744496,0.9870846628925689,0.9303268831786133,1.0473051454653857
all,cancer_excl_lung_and_haem,cancer_excl_lung_and_haem,"Cancer excl. lung, haemo",integer,continuous,NA,NA,NA,NA,"Cancer excl. lung, haemo",3001316,91813,0.02906100832212449,0.018522731569230375,1.5689375086771817,0.1166625008629743,-0.007242878448870119,0.0653648950931191,1.0294873998581995,0.9927832879837009,1.0675484965296842
all,any_immunosuppression,any_immunosuppression,Immunosuppressed,integer,continuous,NA,NA,NA,NA,Immunosuppressed,3001316,91813,-0.01175512203506507,0.021596336500601592,-0.5443109313812377,0.5862275258504959,-0.054083163774251965,0.030572919704121827,0.9883136994795719,0.9473533177482046,1.0310450708091679
all,dementia,dementia,Dementia,integer,continuous,NA,NA,NA,NA,Dementia,3001316,91813,-0.304084878680411,0.02163706997569012,-14.053884330089945,7.2922065015214e-45,-0.34649275656373657,-0.26167700079708545,0.7377982404517636,0.7071639415656584,0.7697596153001491
all,other_neuro_conditions,other_neuro_conditions,Other neurological conditions,integer,continuous,NA,NA,NA,NA,Other neurological conditions,3001316,91813,-0.3105730392517045,0.029198356047243777,-10.636661829494386,2.0120930568334274e-26,-0.3678007655120796,-0.2533453129913294,0.7330267827287801,0.6922550890384991,0.7761998036648934
all,LD_incl_DS_and_CP,LD_incl_DS_and_CP,Learning disabilities,integer,continuous,NA,NA,NA,NA,Learning disabilities,3001316,91813,-0.4848256522753398,0.13486127874195566,-3.594995218775939,3.243975344006091e-4,-0.74914890151859,-0.22050240303208957,0.615804551527878,0.4727687543290233,0.8021157113495201
all,psychosis_schiz_bipolar,psychosis_schiz_bipolar,Serious mental illness,integer,continuous,NA,NA,NA,NA,Serious mental illness,3001316,91813,-0.45379254568529087,0.04850796104286137,-9.355011753314518,8.359042228373089e-21,-0.5488664022927712,-0.3587186890778106,0.6352144975662031,0.5776042102057132,0.6985708393201958
all,multimorb0,multimorb,Morbidity count,factor,categorical,5,contr.treatment,treatment,TRUE,0,934680,29238,0,NA,NA,NA,NA,NA,NA,NA,NA
all,multimorb1,multimorb,Morbidity count,factor,categorical,5,contr.treatment,treatment,FALSE,1,1047026,32817,0.022822383200208393,0.018098039421459402,1.2610417442867978,0.20729380758299149,-0.01264912225663814,0.058293888657054926,1.0230848063590408,0.987430541643725,1.060026479695801
all,multimorb2,multimorb,Morbidity count,factor,categorical,5,contr.treatment,treatment,FALSE,2,673532,20174,0.05278074409827399,0.03372787606332538,1.5648997286154671,0.11760642234554976,-0.013324678260874315,0.1188861664574223,1.054198480539734,0.9867637022815796,1.1262417069078174
all,multimorb3,multimorb,Morbidity count,factor,categorical,5,contr.treatment,treatment,FALSE,3,267422,7582,0.06905392675411352,0.05064222838921761,1.3635641430189516,0.17270478382701104,-0.030203016985604833,0.16831087049383187,1.0714939897832922,0.9702485366191315,1.1833044079018298
all,multimorb4+,multimorb,Morbidity count,factor,categorical,5,contr.treatment,treatment,FALSE,4+,78656,2002,0.06261500211343315,0.07176814701304064,0.8724622930846422,0.38295623007684937,-0.07804798126930232,0.20327798549616863,1.064616885069871,0.9249200466410048,1.2254130679641249
all,shielded,shielded,Shielding criteria met,integer,continuous,NA,NA,NA,NA,Shielding criteria met,3001316,91813,-0.006353031450596557,0.011181678129652095,-0.5681644004533892,0.5699233418041662,-0.028268717871433854,0.015562654970240739,0.993667106385706,0.9721271037737075,1.0156843837395813
all,flu_vaccine,flu_vaccine,Flu vaccine in previous 5 years,integer,continuous,NA,NA,NA,NA,Flu vaccine in previous 5 years,3001316,91813,0.615223531252345,0.011885554116594949,51.76229271408999,0,0.5919282732475171,0.6385187892571729,1.8500701018280528,1.807470353983722,1.893673870851708
all,efi_catNone,efi_cat,Frailty,factor,categorical,4,contr.treatment,treatment,TRUE,None,240970,6177,0,NA,NA,NA,NA,NA,NA,NA,NA
all,efi_catMild,efi_cat,Frailty,factor,categorical,4,contr.treatment,treatment,FALSE,Mild,877341,31157,0.06977378810415046,0.014538048517116632,4.799391611742184,1.5914833640726593e-6,0.04127973660510592,0.09826783960319499,1.0722655945842505,1.04214359048411,1.1032582417889438
all,efi_catModerate,efi_cat,Frailty,factor,categorical,4,contr.treatment,treatment,FALSE,Moderate,1067747,34352,-0.013628319582531027,0.015031326141824087,-0.9066611590983148,0.364586009053271,-0.043089177460381635,0.01583253829531958,0.9864641255310979,0.957825969770833,1.0159585370113298
all,efi_catSevere,efi_cat,Frailty,factor,categorical,4,contr.treatment,treatment,FALSE,Severe,815258,20127,-0.2001627664328365,0.016843868697013962,-11.883420016704408,1.443385866775036e-32,-0.23317614243930548,-0.16714939042636753,0.8185975020385422,0.7920140539495887,0.846073206658518
all,regionMidlands,region,region,factor,categorical,7,contr.treatment,treatment,TRUE,Midlands,686184,25513,0,NA,NA,NA,NA,NA,NA,NA,NA
all,regionNorth East and Yorkshire,region,region,factor,categorical,7,contr.treatment,treatment,FALSE,North East and Yorkshire,938927,27340,-0.42129997516938006,0.04707003256079619,-8.95049253737448,3.5389970462204545e-19,-0.5135555437396683,-0.3290444065990919,0.656193230207034,0.5983642817216372,0.7196110605576795
all,regionEast of England,region,region,factor,categorical,7,contr.treatment,treatment,FALSE,East of England,999715,27177,0.0344088584269936,0.047204799421027864,0.7289271186197609,0.4660462452719215,-0.05811084833565818,0.12692856518964538,1.035007691848081,0.9435453512079472,1.1353359123790567
all,regionSouth East,region,region,factor,categorical,7,contr.treatment,treatment,FALSE,South East,37017,953,-0.9892861416450401,0.18760566581346294,-5.273221026430466,1.3404995855271885e-7,-1.3569864899350847,-0.6215857933549955,0.3718420388465526,0.2574353933591352,0.5370920449181301
all,regionSouth West,region,region,factor,categorical,7,contr.treatment,treatment,FALSE,South West,69811,2689,0.07534541724432706,0.06510739330690303,1.1572482542675924,0.24717094808545823,-0.05226272876448704,0.20295356325314115,1.0782565349679734,0.9490794836041216,1.2250155811882426
all,regionNorth West,region,region,factor,categorical,7,contr.treatment,treatment,FALSE,North West,252644,7619,-0.855978307971738,0.07186770014448726,-11.91047308110356,1.0438333918786287e-32,-0.9968364119066571,-0.715120204036819,0.42486733659623893,0.3690451030561576,0.489133312463743
all,regionLondon,region,region,factor,categorical,7,contr.treatment,treatment,FALSE,London,17018,522,-2.6040801603932167,0.3426916727143371,-7.598901192337816,2.986556932800147e-14,-3.275743496715105,-1.9324168240713284,0.07397114750470758,0.037788762961031334,0.14479782439043545
all,timesince_suspectedcovid_pwNot suspected,timesince_suspectedcovid_pw,Time since suspected COVID,factor,categorical,4,contr.treatment,treatment,TRUE,Not suspected,2985557,91294,0,NA,NA,NA,NA,NA,NA,NA,NA
all,timesince_suspectedcovid_pw1-21,timesince_suspectedcovid_pw,Time since suspected COVID,factor,categorical,4,contr.treatment,treatment,FALSE,1-21,7504,323,0.4092497118885014,0.05755009408806793,7.111191013210743,1.1504578288790953e-12,0.2964536001689968,0.522045823608006,1.5056876616546016,1.3450801470577787,1.685472303950017
all,timesince_suspectedcovid_pw22-28,timesince_suspectedcovid_pw,Time since suspected COVID,factor,categorical,4,contr.treatment,treatment,FALSE,22-28,2639,69,-0.16521530487033137,0.12495339847705324,-1.3222153769644924,0.18609644207215073,-0.4101194656312377,0.07968885589057495,0.8477111680950516,0.6635709714758977,1.0829500617164634
all,timesince_suspectedcovid_pw29+,timesince_suspectedcovid_pw,Time since suspected COVID,factor,categorical,4,contr.treatment,treatment,FALSE,29+,5616,127,0.1652863400917156,0.09459001563644388,1.7473973228526845,0.08056844154916316,-0.020106683852794904,0.3506793640362261,1.1797308745993895,0.9800941075136225,1.4200319395999388
all,timesince_hospinfectiousdischarge_pwNot in hospital,timesince_hospinfectiousdischarge_pw,Time since discharge from infectious hosp admission,factor,categorical,4,contr.treatment,treatment,TRUE,Not in hospital,2885051,90697,0,NA,NA,NA,NA,NA,NA,NA,NA
all,timesince_hospinfectiousdischarge_pwIn hospital,timesince_hospinfectiousdischarge_pw,Time since discharge from infectious hosp admission,factor,categorical,4,contr.treatment,treatment,FALSE,In hospital,39944,63,-2.778832011950266,0.12564204491997621,-22.117054953380904,2.1661595293376967e-108,-3.025085894937383,-2.532578128963149,0.06211100994542262,0.04855365057811574,0.07945391356791569
