variable,var_label,var_type,reference_row,row_type,label,N,term,var_class,var_nlevels,header_row,contrasts,contrasts_type,n_obs,n_event,estimate,std.error,statistic,or,or.ll,or.ul,conf.low,conf.high,ci,p.value
"age, degree = 2",Age,continuous,NA,label,Age,3684249,NA,nmatrix.2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"age, degree = 2",Age,continuous,NA,level,Age,3684249,"poly(age, degree = 2, raw = TRUE)1",nmatrix.2,NA,FALSE,NA,NA,3684249,92309,0.29075844229786835,0.027461742917312626,10.587763608935628,1.337441475637365,1.267357995663387,1.4114004936850915,0.23693441522723768,0.344582469368499,"0.24, 0.34",3.396084473442453e-26
"age, degree = 2",Age,continuous,NA,level,Age²,3684249,"poly(age, degree = 2, raw = TRUE)2",nmatrix.2,NA,FALSE,NA,NA,3684249,92309,-0.0018043136013693173,1.5803080563117945e-4,-11.417480244834787,0.9981973131938534,0.9978881847373773,0.9985065374129651,-0.0021140482888542785,-0.001494578913884356,"0.00, 0.00",3.4200632068986086e-30
sex,Sex,dichotomous,NA,label,Sex,3684249,NA,factor,2,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,TRUE,level,Female,3684249,sexFemale,factor,2,FALSE,contr.treatment,treatment,2172209,53114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,FALSE,level,Male,3684249,sexMale,factor,2,FALSE,contr.treatment,treatment,1512040,39195,0.07612301983500508,0.007143964175991265,10.655571327027628,1.079095316119913,1.0640912061837642,1.0943109899837289,0.06212110734321784,0.09012493232679232,"0.06, 0.09",1.6423311122788784e-26
imd,Deprivation,categorical,NA,label,Deprivation,3684249,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,TRUE,level,1 most deprived,3684249,imd1 most deprived,factor,5,FALSE,contr.treatment,treatment,513113,11445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,FALSE,level,2,3684249,imd2,factor,5,FALSE,contr.treatment,treatment,647112,15476,0.10448733429683685,0.013265100581918415,7.876859557270373,1.1101413330565784,1.0816506077319665,1.139382505358911,0.07848821490497546,0.13048645368869824,"0.08, 0.13",3.357118912051281e-15
imd,Deprivation,categorical,FALSE,level,3,3684249,imd3,factor,5,FALSE,contr.treatment,treatment,838452,20880,0.16388385225205426,0.012662011088547514,12.942955989059532,1.178077476100351,1.149200825612763,1.2076797273052353,0.13906676654665434,0.18870093795745418,"0.14, 0.19",2.575265789932295e-38
imd,Deprivation,categorical,FALSE,level,4,3684249,imd4,factor,5,FALSE,contr.treatment,treatment,849080,22090,0.22951476288813147,0.012638337383015811,18.160202242786127,1.257989438643566,1.2272109530078072,1.289539849575223,0.20474407679295428,0.2542854489833086,"0.20, 0.25",1.066311631419748e-73
imd,Deprivation,categorical,FALSE,level,5 least deprived,3684249,imd5 least deprived,factor,5,FALSE,contr.treatment,treatment,836492,22418,0.2878586457333167,0.012692756345923885,22.678970421248085,1.3335687851620204,1.3008023942798599,1.3671605407392056,0.2629813004307637,0.31273599103586974,"0.26, 0.31",7.226006904660253e-114
ethnicity,Ethnicity,categorical,NA,label,Ethnicity,3684249,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ethnicity,Ethnicity,categorical,TRUE,level,White,3684249,ethnicityWhite,factor,5,FALSE,contr.treatment,treatment,3470890,88843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ethnicity,Ethnicity,categorical,FALSE,level,Black,3684249,ethnicityBlack,factor,5,FALSE,contr.treatment,treatment,53989,679,-0.83673660908742,0.03989674909630016,-20.97255109853086,0.43312166492892185,0.40054354154566085,0.46834952301787647,-0.9149328004163992,-0.7585404177584407,"-0.91, -0.76",1.1682859231755366e-97
ethnicity,Ethnicity,categorical,FALSE,level,South Asian,3684249,ethnicitySouth Asian,factor,5,FALSE,contr.treatment,treatment,114791,2021,-0.4996356003438725,0.025467143277726607,-19.618831798101613,0.6067517195510819,0.5772093323172409,0.6378061278050448,-0.549550283957338,-0.44972091673040704,"-0.55, -0.45",1.0677884660300408e-85
ethnicity,Ethnicity,categorical,FALSE,level,Mixed,3684249,ethnicityMixed,factor,5,FALSE,contr.treatment,treatment,15053,260,-0.5088029666923678,0.06685551707254525,-7.610485850259197,0.6012148224145812,0.5273781833586384,0.6853891080382246,-0.6398373723223592,-0.37776856106237644,"-0.64, -0.38",2.7306746329775048e-14
ethnicity,Ethnicity,categorical,FALSE,level,Other,3684249,ethnicityOther,factor,5,FALSE,contr.treatment,treatment,29526,506,-0.4225694019283652,0.05115649118265297,-8.260328106155516,0.655360769447315,0.5928378946342199,0.7244775376506193,-0.5228342822218058,-0.3223045216349245,"-0.52, -0.32",1.452725864531652e-16
bmi,Body Mass Index,categorical,NA,label,Body Mass Index,3684249,NA,factor,4,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bmi,Body Mass Index,categorical,TRUE,level,Not obese,3684249,bmiNot obese,factor,4,FALSE,contr.treatment,treatment,3047583,76234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bmi,Body Mass Index,categorical,FALSE,level,Obese I (30-34.9),3684249,bmiObese I (30-34.9),factor,4,FALSE,contr.treatment,treatment,464060,11888,-0.001314712828864292,0.010404357958650948,-0.1263617451542162,0.9986861510274311,0.9785270191415814,1.0192605914233592,-0.021706879710082824,0.01907745405235424,"-0.02, 0.02",0.8994455823162981
bmi,Body Mass Index,categorical,FALSE,level,Obese II (35-39.9),3684249,bmiObese II (35-39.9),factor,4,FALSE,contr.treatment,treatment,128888,3178,-0.06483587929571485,0.01843757596954917,-3.5165077775297267,0.9372212681703859,0.9039575622024052,0.9717090074127035,-0.10097286415825239,-0.028698894433177316,"-0.10, -0.03",4.3726384802705626e-4
bmi,Body Mass Index,categorical,FALSE,level,Obese III (40+),3684249,bmiObese III (40+),factor,4,FALSE,contr.treatment,treatment,43718,1009,-0.1874012259262786,0.03206682193814026,-5.844084776713831,0.8291110088079056,0.7786052958855455,0.8828928708282431,-0.25025104202369236,-0.1245514098288648,"-0.25, -0.12",5.093608452149145e-9
