strata,model,model_descr,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul,ve,ve.ll,ve.ul
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw1-3,-1.1296079516144721,-1.2694954240508296,-0.9897204791781147,0.07137247089220618,-15.826941921634164,2.0284294522419067e-56,0.3231599259175682,0.28097335841593774,0.37168056896146073,0.6768400740824319,0.6283194310385393,0.7190266415840623
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw4-7,-1.0478878908945746,-1.1668617391649962,-0.9289140426241529,0.060702058409681105,-17.26280653981005,8.964594083250349e-67,0.3506776369042039,0.3113424836342925,0.39498241161705605,0.649322363095796,0.605017588382944,0.6886575163657075
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw8-14,-0.8956862281560556,-0.9881142904192355,-0.8032581658928757,0.0471580411641442,-18.993287381009267,1.9380738296087766e-80,0.40832729678839425,0.3722780378086456,0.44786735818194784,0.5916727032116058,0.5521326418180521,0.6277219621913543
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw15-21,-1.1161605081275188,-1.222875506019818,-1.0094455102352196,0.054447427980337124,-20.499783911383354,2.16251554972222e-93,0.32753495128261806,0.29438245019318815,0.36442099126936806,0.672465048717382,0.6355790087306319,0.7056175498068118
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw22-28,-1.4501369118610588,-1.577291865268976,-1.3229819584531415,0.06487616834334681,-22.35238222125634,1.1447072459189847e-110,0.23453817483749864,0.20653366251438568,0.2663399021080818,0.7654618251625014,0.7336600978919182,0.7934663374856143
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw29+,-2.0046111702303855,-2.128535424824454,-1.8806869156363168,0.06322782233325065,-31.704573971642034,1.343758314140551e-220,0.13471266580812696,0.11901146751699436,0.1524853252191072,0.865287334191873,0.8475146747808928,0.8809885324830057
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw1-3,-1.0636097662160655,-1.2036436208433976,-0.9235759115887333,0.07144715705589563,-14.886663235375007,4.023547024372537e-50,0.3452074403679898,0.30009877130081,0.39709651715290983,0.6547925596320102,0.6029034828470902,0.69990122869919
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw4-7,-0.9703670149398875,-1.0894366469880619,-0.8512973828917133,0.06075092858204556,-15.972875437276388,1.9746876584673138e-57,0.37894393449306996,0.33640595564309184,0.42686077068575495,0.62105606550693,0.573139229314245,0.6635940443569082
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw8-14,-0.8021856845067936,-0.8946314661832893,-0.709739902830298,0.04716708184726665,-17.00732063739662,7.2477446485042175e-65,0.44834794525130994,0.4087582121100862,0.49177208935666417,0.5516520547486901,0.5082279106433358,0.5912417878899138
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw15-21,-1.007567410668629,-1.1142640693844108,-0.9008707519528472,0.05443807108568906,-18.508506833070047,1.763207356813162e-76,0.36510605328109536,0.32815669061289005,0.40621579250306444,0.6348939467189046,0.5937842074969355,0.6718433093871099
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw22-28,-1.3319928626975093,-1.4593339427250183,-1.2046517826700003,0.06497113264935439,-20.50130278451818,2.0960627100483955e-93,0.2639507192686899,0.23239100891525177,0.29979637563287126,0.7360492807313102,0.7002036243671288,0.7676089910847482
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw29+,-1.8705606999120723,-1.996776508833744,-1.7443448909904007,0.06439700418846765,-29.04732484818069,1.663297943155457e-185,0.15403726891401284,0.1357722392101054,0.17475943795675347,0.8459627310859872,0.8252405620432466,0.8642277607898946
all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw1-3,-0.6848823282777976,-0.9311356428334142,-0.438629013722181,0.12564175489857538,-5.4510726058440575,5.0066922773289434e-8,0.5041495502303984,0.394105892606667,0.6449199917220759,0.4958504497696016,0.3550800082779241,0.605894107393333
all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw4-7,-0.734853967528322,-0.8909950476379864,-0.5787128874186576,0.0796652802507012,-9.2242689063013,2.855018431989768e-20,0.4795754874553429,0.410247333947326,0.5606194827766019,0.5204245125446572,0.4393805172233981,0.589752666052674
