variable,var_label,var_type,reference_row,row_type,label,N,term,var_class,var_nlevels,header_row,contrasts,contrasts_type,n_obs,n_event,estimate,std.error,statistic,or,or.ll,or.ul,conf.low,conf.high,ci,p.value
"age, degree = 2",Age,continuous,NA,label,Age,6945854,NA,nmatrix.2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"age, degree = 2",Age,continuous,NA,level,Age,6945854,"poly(age, degree = 2, raw = TRUE)1",nmatrix.2,NA,FALSE,NA,NA,66750890.41057633,10309.9051103288,0.1629728759812551,0.22273666753339466,0.7316840903926192,1.1770047641562087,0.7606492223516416,1.8212602789015695,-0.2735829704206703,0.5995287223831804,"-0.27, 0.60",0.46436140922892055
"age, degree = 2",Age,continuous,NA,level,Age²,6945854,"poly(age, degree = 2, raw = TRUE)2",nmatrix.2,NA,FALSE,NA,NA,66750890.41057633,10309.9051103288,-3.998433396975598e-4,0.0012628149364939147,-0.31662861132105924,0.9996002365869975,0.9971292134767334,1.0020773832318335,-0.0028749151343648678,0.0020752284549697478,"0.00, 0.00",0.7515254232647858
sex,Sex,dichotomous,NA,label,Sex,6945854,NA,factor,2,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,TRUE,level,Female,6945854,sexFemale,factor,2,FALSE,contr.treatment,treatment,39150003.958745286,5729.947263063436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,FALSE,level,Male,6945854,sexMale,factor,2,FALSE,contr.treatment,treatment,27600886.451830756,4579.957847265364,0.2327276536031929,0.06604535651938373,3.5237549748844095,1.2620377210927536,1.1088030869318728,1.4364491118690872,0.10328113347909315,0.36217417372729266,"0.10, 0.36",4.2547750813614086e-4
imd,Deprivation,categorical,NA,label,Deprivation,6945854,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,TRUE,level,1 most deprived,6945854,imd1 most deprived,factor,5,FALSE,contr.treatment,treatment,12302039.26536436,2319.9786475230667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,FALSE,level,2,6945854,imd2,factor,5,FALSE,contr.treatment,treatment,12731728.389337588,2039.9812245461449,-0.10248352322363193,0.09827334721561559,-1.042841483752243,0.9025930214537723,0.7444603061434415,1.0943151107643874,-0.29509574440643804,0.0901286979591742,"-0.30, 0.09",0.2970217147810247
imd,Deprivation,categorical,FALSE,level,3,6945854,imd3,factor,5,FALSE,contr.treatment,treatment,13776135.816893352,2009.9815006557603,-0.1490741239384213,0.1006302767299159,-1.4814042928504016,0.861505254369766,0.7072961331002116,1.049336011570644,-0.34630584208335546,0.048157594206512916,"-0.35, 0.05",0.13849887147985107
imd,Deprivation,categorical,FALSE,level,4,6945854,imd4,factor,5,FALSE,contr.treatment,treatment,14159580.252870446,1889.9826050942224,-0.18424818161812495,0.10209190276278066,-1.8047286477385136,0.8317293582717575,0.6808967264768567,1.0159745208213489,-0.38434463414634024,0.015848270910090334,"-0.38, 0.02",0.07111715462089749
imd,Deprivation,categorical,FALSE,level,5 least deprived,6945854,imd5 least deprived,factor,5,FALSE,contr.treatment,treatment,13781406.686109433,2049.981132509606,-0.028547351476025294,0.10188331068296314,-0.2801965433264917,0.9718562742275205,0.7959372156657241,1.1866571874835772,-0.22823497104033794,0.17114026808828733,"-0.23, 0.17",0.779326718525016
