strata,model,model_descr,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul,ve,ve.ll,ve.ul
all,1,"Region-stratified Cox model, with no further adjustment",(Intercept),-9.33696610962062,-9.499342572792473,-9.174589646448768,0.08284665659810977,-112.70178535887533,0,8.810633597469824e-5,7.490105569662198e-5,1.0363974668565992e-4,0.9999118936640253,0.9998963602533143,0.9999250989443034
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw1-3,-2.144999946001677,-2.303428459112548,-1.986571432890806,0.08083235934973028,-26.536401550783562,3.6864425403834223e-155,0.11706804336560424,0.09991569894147476,0.1371648992364914,0.8829319566343957,0.8628351007635087,0.9000843010585252
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw4-7,-1.8780096188660529,-1.993536675407201,-1.7624825623249047,0.058943458886189216,-31.861204862310533,9.208481391713548e-223,0.15289412067702424,0.13621283198730755,0.17161828145367908,0.8471058793229758,0.8283817185463209,0.8637871680126925
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw8-14,-1.7964003828577653,-1.8799361328012307,-1.7128646329142998,0.04262106375544903,-42.14818271935079,0,0.1658949731283109,0.15259985157071407,0.18034841990976527,0.8341050268716891,0.8196515800902348,0.8474001484292859
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw15-21,-1.805890637750877,-1.8881826773231778,-1.7235985981785762,0.041986505987563996,-43.01121503860704,0,0.16432803463120754,0.151346604681128,0.17842291885337908,0.8356719653687925,0.821577081146621,0.848653395318872
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw22-28,-1.8780173175031165,-1.9630622286999055,-1.7929724063063275,0.043391058135563994,-43.281205810555335,0,0.1528929436052109,0.14042773998019598,0.16646463303876335,0.8471070563947891,0.8335353669612366,0.859572260019804
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw29+,-2.2534751129955928,-2.328711897616058,-2.1782383283751274,0.03838681996910325,-58.70439684270194,0,0.10503358603243333,0.09742115472490347,0.11324084821191802,0.8949664139675667,0.886759151788082,0.9025788452750966
all,1,"Region-stratified Cox model, with no further adjustment","ns(tstop, df = 4)1",1.4958920048827695,1.3236879348585862,1.6680960749069529,0.08786083386353383,17.02569778937224,5.295740059450047e-65,4.4633160774406955,3.757252359653381,5.302063449626362,-3.4633160774406955,-4.302063449626362,-2.757252359653381
all,1,"Region-stratified Cox model, with no further adjustment","ns(tstop, df = 4)2",2.4357129447010792,2.263229321347282,2.6081965680548764,0.08800346573423085,27.677466158627162,1.3041063607478894e-168,11.423960462790808,9.614086063716398,13.574547990363957,-10.423960462790808,-12.574547990363957,-8.614086063716398
all,1,"Region-stratified Cox model, with no further adjustment","ns(tstop, df = 4)3",3.0712016644605513,2.6813132597365645,3.461090069184538,0.19892631078906384,15.438891176729115,8.962787920609358e-54,21.56780437331796,14.60425989426664,31.85167813045633,-20.56780437331796,-30.85167813045633,-13.60425989426664
all,1,"Region-stratified Cox model, with no further adjustment","ns(tstop, df = 4)4",1.8688189965179522,1.702580712389979,2.0350572806459253,0.0848170096181561,22.03354026428573,1.3740328882733663e-107,6.480638221703908,5.488092319728072,7.652690463977207,-5.480638221703908,-6.652690463977207,-4.488092319728072
all,1,"Region-stratified Cox model, with no further adjustment",regionEast Midlands,0.38802162685703667,0.14117241022810995,0.6348708434859633,0.1259457921553875,3.0808621726584495,0.0020640216660696795,1.474061663264274,1.1516231824851522,1.8867784359954498,-0.474061663264274,-0.8867784359954498,-0.15162318248515216
all,1,"Region-stratified Cox model, with no further adjustment",regionLondon,1.4634345202683,1.0299559662733735,1.8969130742632263,0.22116659153645166,6.616887795311994,3.668397156143568e-11,4.320773859117038,2.8009424960474014,6.665287405212477,-3.320773859117038,-5.665287405212477,-1.8009424960474014
all,1,"Region-stratified Cox model, with no further adjustment",regionNorth East,0.9689803341697193,0.5997493564875653,1.3382113118518733,0.1883866135268816,5.143573187228888,2.695615707452452e-7,2.6352560084204835,1.8216621553642531,3.81221853320417,-1.6352560084204835,-2.81221853320417,-0.8216621553642531
all,1,"Region-stratified Cox model, with no further adjustment",regionNorth West,0.6151003237590048,0.2798644809786679,0.9503361665393417,0.17104183823000554,3.596198042094586,3.22902007420297e-4,1.8498421733698382,1.3229505152295324,2.5865790345029978,-0.8498421733698382,-1.5865790345029978,-0.32295051522953244
all,1,"Region-stratified Cox model, with no further adjustment",regionSouth East,1.5020473705884945,1.174188371021855,1.829906370155134,0.16727807355275381,8.979344026907388,2.723858299588354e-19,4.490874148148088,3.2355158394506063,6.233303008007947,-3.4908741481480883,-5.233303008007947,-2.2355158394506063
all,1,"Region-stratified Cox model, with no further adjustment",regionSouth West,3.227013438342076,2.9701687258946543,3.4838581507894975,0.1310456286306176,24.625113191971927,6.801220785614698e-134,25.204270346164073,19.495208665071242,32.58519847600739,-24.204270346164073,-31.585198476007392,-18.495208665071242
all,1,"Region-stratified Cox model, with no further adjustment",regionWest Midlands,3.5429196775119443,3.129857267894402,3.9559820871294864,0.2107499999365937,16.81100677854267,2.0269932496458409e-63,34.56769852971835,22.870714924165778,52.24697984315756,-33.56769852971835,-51.24697984315756,-21.870714924165778
all,1,"Region-stratified Cox model, with no further adjustment",regionYorkshire and The Humber,-0.7049340633089837,-0.9786203262998415,-0.4312478003181258,0.1396384143533556,-5.048281782440934,4.4580128793435886e-7,0.4941411552146594,0.3758292630704413,0.6496978954805671,0.5058588447853406,0.3503021045194329,0.6241707369295587
all,1,"Region-stratified Cox model, with no further adjustment","ns(tstop, df = 4)1:regionEast Midlands",-0.32527986233677963,-0.59586493323854,-0.054694791435019374,0.13805614441698974,-2.3561418704718613,0.018465863744902233,0.7223251737410841,0.551085707326606,0.9467740674153706,0.27767482625891593,0.053225932584629376,0.448914292673394
all,1,"Region-stratified Cox model, with no further adjustment","ns(tstop, df = 4)2:regionEast Midlands",-0.17356949220761259,-0.4314657747526054,0.08432679033738022,0.13158215384529812,-1.319095995431715,0.18713702179514938,0.840658729901004,0.6495562933825965,1.0879843785032965,0.159341270098996,-0.08798437850329655,0.35044370661740354
all,1,"Region-stratified Cox model, with no further adjustment","ns(tstop, df = 4)3:regionEast Midlands",-0.6899837380635772,-1.282454897136148,-0.09751257899100618,0.30228675819857304,-2.2825470165329733,0.02245706497794392,0.5015842257305233,0.2773555845940888,0.9070909311953712,0.4984157742694767,0.09290906880462879,0.7226444154059112
all,1,"Region-stratified Cox model, with no further adjustment","ns(tstop, df = 4)4:regionEast Midlands",0.4247907137234687,0.18086663561057362,0.6687147918363638,0.12445334712113956,3.4132526247766464,6.419240691789455e-4,1.5292703308760929,1.1982553640416025,1.9517273321521122,-0.5292703308760929,-0.9517273321521122,-0.1982553640416025
all,1,"Region-stratified Cox model, with no further adjustment","ns(tstop, df = 4)1:regionLondon",0.7084687908371653,0.2466770034713715,1.1702605782029591,0.23561238421131644,3.0069250952520075,0.0026390478225246333,2.0308791758272986,1.2797656861400986,3.222832328977958,-1.0308791758272986,-2.222832328977958,-0.27976568614009856
all,1,"Region-stratified Cox model, with no further adjustment","ns(tstop, df = 4)2:regionLondon",-0.43461845939835114,-0.8917892116126718,0.022552292815969432,0.23325466989211296,-1.8632787056283793,0.062423064507957295,0.6475116719467343,0.4099216596305161,1.0228085183036353,0.3524883280532657,-0.022808518303635283,0.5900783403694839
all,1,"Region-stratified Cox model, with no further adjustment","ns(tstop, df = 4)3:regionLondon",-0.6437012647543835,-1.679001720419055,0.39159919091028816,0.5282242244403417,-1.2186136776222083,0.22299085524389772,0.5253443825113251,0.18656012227164212,1.4793446577739329,0.4746556174886749,-0.47934465777393287,0.8134398777283579
all,1,"Region-stratified Cox model, with no further adjustment","ns(tstop, df = 4)4:regionLondon",0.05712901837663643,-0.39973000801655745,0.5139880447698303,0.2330956231833032,0.24508833583593695,0.8063880342064808,1.0587924052610085,0.6705010515083235,1.6719457112208198,-0.058792405261008485,-0.6719457112208198,0.3294989484916765
all,1,"Region-stratified Cox model, with no further adjustment","ns(tstop, df = 4)1:regionNorth East",-0.4315347668610346,-0.8592075084783481,-0.0038620252437210345,0.21820438793301392,-1.9776631026939315,0.047966725353035054,0.6495114806702521,0.42349756759733176,0.9961454227845278,0.3504885193297479,0.0038545772154722213,0.5765024324026682
all,1,"Region-stratified Cox model, with no further adjustment","ns(tstop, df = 4)2:regionNorth East",-0.43221527393752746,-0.8410966820752441,-0.023333865799810782,0.2086167967181648,-2.071814354054327,0.03828275753110346,0.6490696338683816,0.4312373337530846,0.9769362637123981,0.35093036613161843,0.023063736287601944,0.5687626662469154
all,1,"Region-stratified Cox model, with no further adjustment","ns(tstop, df = 4)3:regionNorth East",-0.8066102835548693,-1.7110363046196069,0.09781573750986838,0.4614503267400498,-1.7479894082061394,0.08046586150320013,0.4463685675650588,0.18067845764551768,1.1027595691623142,0.5536314324349412,-0.10275956916231421,0.8193215423544823
all,1,"Region-stratified Cox model, with no further adjustment","ns(tstop, df = 4)4:regionNorth East",0.23358683900291663,-0.15741149137807361,0.6245851693839068,0.19949260979545302,1.1709047229489937,0.24163707650087285,1.2631225114278932,0.854352427818201,1.8674711125364916,-0.2631225114278932,-0.8674711125364916,0.14564757218179902
