variable,var_label,var_type,reference_row,row_type,label,N,term,var_class,var_nlevels,header_row,contrasts,contrasts_type,n_obs,n_event,estimate,std.error,statistic,or,or.ll,or.ul,conf.low,conf.high,ci,p.value
"age, degree = 2",Age,continuous,NA,label,Age,7598317,NA,nmatrix.2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"age, degree = 2",Age,continuous,NA,level,Age,7598317,"poly(age, degree = 2, raw = TRUE)1",nmatrix.2,NA,FALSE,NA,NA,7598317,743,-0.1570860957197352,0.2570232000577504,-0.6111747721001045,0.854630475624225,0.5164161682132112,1.4143500820139578,-0.660842311024159,0.34667011958468863,"-0.66, 0.35",0.5410838829820509
"age, degree = 2",Age,continuous,NA,level,Age²,7598317,"poly(age, degree = 2, raw = TRUE)2",nmatrix.2,NA,FALSE,NA,NA,7598317,743,0.001244312732903963,0.0014580757475190062,0.8533937520195557,1.0012450872111904,0.9983878377130522,1.0041105137667667,-0.0016134632189646057,0.0041020886847725315,"0.00, 0.00",0.39344098515685344
sex,Sex,dichotomous,NA,label,Sex,7598317,NA,factor,2,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,TRUE,level,Female,7598317,sexFemale,factor,2,FALSE,contr.treatment,treatment,4388299,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,FALSE,level,Male,7598317,sexMale,factor,2,FALSE,contr.treatment,treatment,3210018,391,0.40917270709139214,0.07892085876527027,5.1845952197298155,1.5055717209457586,1.2898045126161282,1.7574339248619164,0.2544906662824902,0.5638547479002941,"0.25, 0.56",2.1648452136913736e-7
imd,Deprivation,categorical,NA,label,Deprivation,7598317,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,TRUE,level,1 most deprived,7598317,imd1 most deprived,factor,5,FALSE,contr.treatment,treatment,992078,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,FALSE,level,2,7598317,imd2,factor,5,FALSE,contr.treatment,treatment,1294009,152,0.15257598969482133,0.13225735538946623,1.153629522120124,1.1648309738818037,0.8988459074829451,1.5095259225399273,-0.10664366355904681,0.4117956429486895,"-0.11, 0.41",0.24865208954502302
imd,Deprivation,categorical,FALSE,level,3,7598317,imd3,factor,5,FALSE,contr.treatment,treatment,1712140,172,0.020845429752194482,0.12808331934133857,0.16274898136143692,1.021064213290813,0.7943800632521643,1.3124349110612532,-0.23019326317717156,0.27188412268156054,"-0.23, 0.27",0.8707160795318911
