term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,n_obs,n_event,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul
"poly(age, degree = 2, raw = TRUE)1","age, degree = 2",Age,nmatrix.2,continuous,NA,NA,NA,NA,Age,31590578,4390,-0.5037047271245281,0.3819259142237758,-1.3188545431599081,0.18721774552562082,-1.2522657637656625,0.2448563095166063,0.6042877863079941,0.28585637953041876,1.2774377443696614
"poly(age, degree = 2, raw = TRUE)2","age, degree = 2",Age,nmatrix.2,continuous,NA,NA,NA,NA,Age²,31590578,4390,0.0030734367329171763,0.0021795632902872207,1.410115845964795,0.15850547905052637,-0.0011984288180713941,0.007345302283905747,1.0030781645819336,0.9988022890109602,1.0073723451889482
sexFemale,sex,Sex,factor,dichotomous,2,contr.treatment,treatment,TRUE,Female,19159517,2100,0,NA,NA,NA,NA,NA,NA,NA,NA
sexMale,sex,Sex,factor,dichotomous,2,contr.treatment,treatment,FALSE,Male,12431061,2290,0.3869616627688743,0.10490771384677403,3.6885911300484753,2.2549925925754674e-4,0.18134632192876332,0.5925770036089852,1.47250003861671,1.198830288626135,1.808643295299991
imd1 most deprived,imd,IMD,factor,categorical,5,contr.treatment,treatment,TRUE,1 most deprived,6712837,960,0,NA,NA,NA,NA,NA,NA,NA,NA
imd2,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,2,6271258,1160,0.15498681615508808,0.14935407912358453,1.0377139818648187,0.29940323358183396,-0.1377417998712831,0.44771543218145926,1.1676425669851327,0.8713236385795332,1.5647333595336423
imd3,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,3,6373011,830,0.018427318754880895,0.1583975145921482,0.1163359084410428,0.9073863279890859,-0.29202610508638716,0.32888074259614897,1.0185981494973237,0.7467490417706644,1.3894121480212278
imd4,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,4,6378274,780,-0.0185537936580651,0.17004825775703106,-0.10910899001726437,0.9131160444605488,-0.3518422544956298,0.3147346671794996,0.9816172683877983,0.7033910700044419,1.369895784419097
imd5 least deprived,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,5 least deprived,5855198,660,-0.05136106364344387,0.1687850049122618,-0.3042987359578684,0.760900308084641,-0.3821735944018931,0.2794514671150053,0.9499356213883713,0.6823765861677387,1.3224042311450186
ethnicity_combinedWhite,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,TRUE,White,29504316,4080,0,NA,NA,NA,NA,NA,NA,NA,NA
ethnicity_combinedBlack,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,Black,272822,10,-1.4666658014972123,0.9325248941859322,-1.5727899712292077,0.11576745858342363,-3.2943810087886636,0.3610494057942393,0.2306933818437438,0.037090996944083535,1.4348343482579953
ethnicity_combinedSouth Asian,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,South Asian,1606603,290,0.7679838894331117,0.22356635107728343,3.435149725047986,5.922265229101277e-4,0.32980189316659875,1.2061658856996247,2.1554163126732053,1.3906925954658742,3.3406516264519497
ethnicity_combinedMixed,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,Mixed,87174,0,-18.748562703207185,0.313466656041122,-59.810389213287365,0,-19.362946059401988,-18.13417934701238,7.204480569117769e-9,3.897439416150935e-9,1.331760028281743e-8
ethnicity_combinedOther,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,Other,119663,10,-0.6582373961303312,1.0679061556491942,-0.6163813108935401,0.5376428851486463,-2.7512950000713765,1.4348202078107144,0.5177631419955703,0.06384512820306686,4.198890013290752
bmiNot obese,bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,TRUE,Not obese,25632761,3660,0,NA,NA,NA,NA,NA,NA,NA,NA
bmiObese I (30-34.9),bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,FALSE,Obese I (30-34.9),4264944,520,-0.3495181651461123,0.16124809752052735,-2.1675800863425234,0.030190650240205313,-0.6655586288619482,-0.03347770143027634,0.7050277148164934,0.5139863198998732,0.967076475413192
bmiObese II (35-39.9),bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,FALSE,Obese II (35-39.9),1261674,190,-0.06011094559730682,0.26843981305949016,-0.2239270878347146,0.8228140378373414,-0.5862433112105723,0.46602142001595864,0.9416600547513883,0.556413636263771,1.5936411348014323
bmiObese III (40+),bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,FALSE,Obese III (40+),431199,20,-0.48328854854735026,0.6469409101394061,-0.7470366164403002,0.4550414583995437,-1.7512694325461493,0.7846923354514489,0.616751834849596,0.1735534891065204,2.1917325185947663
heart_failure,heart_failure,Heart failure,integer,continuous,NA,NA,NA,NA,Heart failure,31590578,4390,0.17968035637054167,0.155386197953887,1.156346951895073,0.247539270657781,-0.1248709953136882,0.48423170805477156,1.1968347413731715,0.8826107561643493,1.6229276474974876
other_heart_disease,other_heart_disease,Other heart disease,integer,continuous,NA,NA,NA,NA,Other heart disease,31590578,4390,0.007660641095803916,0.16606369952523134,0.046130738491948244,0.9632060463064991,-0.31781822911313073,0.3331395113047385,1.0076900588785151,0.7277350574396989,1.395341950867505
dialysis,dialysis,Dialysis,integer,continuous,NA,NA,NA,NA,Dialysis,31590578,4390,0.8615437202865411,0.5579189451503935,1.544209473034299,0.12253759468146713,-0.2319573185008078,1.95504475907389,2.366811570049938,0.7929799681582744,7.0642352052506885
diabetes,diabetes,Diabetes,integer,continuous,NA,NA,NA,NA,Diabetes,31590578,4390,-0.012923205578111573,0.19759142690135276,-0.06540367555806692,0.9478525976758183,-0.4001952859586416,0.3743488748024185,0.9871599404864729,0.6701891547238862,1.4540443414109536
chronic_liver_disease,chronic_liver_disease,Chronic liver disease,integer,continuous,NA,NA,NA,NA,Chronic liver disease,31590578,4390,0.34615364465278375,0.42386817666715954,0.8166540063813266,0.4141261824357683,-0.48461271580750964,1.176920005113077,1.4136197942555537,0.6159356927358315,3.244366167245601
current_copd,current_copd,COPD,integer,continuous,NA,NA,NA,NA,COPD,31590578,4390,-0.11156504369847561,0.19477526021294125,-0.5727885747733326,0.5667878558715481,-0.49331753879525775,0.27018745139830647,0.89443321226703,0.6105973499322046,1.3102100284174902
other_resp_conditions,other_resp_conditions,Other respiratory conditions,integer,continuous,NA,NA,NA,NA,Other respiratory conditions,31590578,4390,0.2681165101933181,0.18328390952949614,1.4628480529556238,0.14350896094796803,-0.09111335143019184,0.6273463718168281,1.3074994681566714,0.9129142249011987,1.872634703895645
lung_cancer,lung_cancer,Lung Cancer,integer,continuous,NA,NA,NA,NA,Lung Cancer,31590578,4390,0.19772554431819767,0.49529484975346966,0.39920775355652194,0.6897401306044055,-0.7730345229267799,1.1684856115631752,1.2186278885722879,0.4616101741737767,3.217116982883251
haematological_cancer,haematological_cancer,Haematological cancer,integer,continuous,NA,NA,NA,NA,Haematological cancer,31590578,4390,0.012967473587248077,0.3021890784321224,0.04291178772749998,0.965771852159388,-0.5793122366610614,0.6052471838355574,1.0130519158791602,0.5602835765869384,1.8317049207798648
cancer_excl_lung_and_haem,cancer_excl_lung_and_haem,"Cancer excl. lung, haemo",integer,continuous,NA,NA,NA,NA,"Cancer excl. lung, haemo",31590578,4390,0.12678015128688092,0.19211989049339076,0.6599012260588518,0.5093172173736455,-0.249767914793944,0.5033282173677058,1.1351674252485775,0.778981552187728,1.6542177150749033
any_immunosuppression,any_immunosuppression,Immunosuppressed,integer,continuous,NA,NA,NA,NA,Immunosuppressed,31590578,4390,-0.18659512451932628,0.2547509761861549,-0.7324608812606673,0.46388731090506224,-0.6858978628706107,0.3127076138319581,0.8297796258089724,0.5036378288015734,1.3671217450962196
dementia,dementia,Dementia,integer,continuous,NA,NA,NA,NA,Dementia,31590578,4390,0.4019531580038726,0.18828268905570628,2.1348386302521347,0.032774193630355636,0.03292586854233459,0.7709804474654106,1.4947413143692978,1.033473923473115,2.161884829540721
other_neuro_conditions,other_neuro_conditions,Other neurological conditions,integer,continuous,NA,NA,NA,NA,Other neurological conditions,31590578,4390,0.2541157711726752,0.2538703082556915,1.0009668831249712,0.3168428192518016,-0.24346088975256158,0.7516924320979119,1.2893210618390596,0.7839101343520658,2.120585928992741
LD_incl_DS_and_CP,LD_incl_DS_and_CP,Learning disabilities,integer,continuous,NA,NA,NA,NA,Learning disabilities,31590578,4390,-19.797952384791746,0.34469345298053833,-57.436403893373495,0,-20.47353913834035,-19.12236563124314,2.522658869300705e-9,1.2836745387014138e-9,4.957493179929582e-9
psychosis_schiz_bipolar,psychosis_schiz_bipolar,Serious mental illness,integer,continuous,NA,NA,NA,NA,Serious mental illness,31590578,4390,0.30904161605099323,0.32611517626004466,0.9476456128020336,0.343309897158515,-0.33013238423062585,0.9482156163326123,1.3621190553399802,0.7188285655660984,2.5810998752659797
multimorb0,multimorb,Morbidity count,factor,categorical,5,contr.treatment,treatment,TRUE,0,10032351,710,0,NA,NA,NA,NA,NA,NA,NA,NA
multimorb1,multimorb,Morbidity count,factor,categorical,5,contr.treatment,treatment,FALSE,1,11063053,1400,0.05721587621604145,0.21728573233341147,0.2633209074595254,0.7923032463331077,-0.3686563335118552,0.48308808594393815,1.058884373675739,0.691663071028581,1.6210726924415053
multimorb2,multimorb,Morbidity count,factor,categorical,5,contr.treatment,treatment,FALSE,2,6953101,1350,0.029089684745676674,0.34825545820809145,0.08352973100652697,0.933430338065384,-0.6534784707616764,0.7116578402530297,1.0295169222982163,0.5202330104454453,2.037366087920596
multimorb3,multimorb,Morbidity count,factor,categorical,5,contr.treatment,treatment,FALSE,3,2726811,630,0.31449586781297545,0.4894674530806627,0.6425266191522392,0.5205313114172103,-0.6448427118296719,1.2738344474556227,1.3695686932297124,0.5247450718081832,3.574532675479032
multimorb4+,multimorb,Morbidity count,factor,categorical,5,contr.treatment,treatment,FALSE,4+,815262,300,-0.040855638363629786,0.6792662536175473,-0.06014672176933003,0.952038778703211,-1.3721930313674724,1.2904817546402128,0.9599677024536701,0.2535503056226697,3.634537089162886
shielded,shielded,Shielding criteria met,integer,continuous,NA,NA,NA,NA,Shielding criteria met,31590578,4390,0.13940085337916802,0.14149047718194133,0.985231346699847,0.3245104464068965,-0.13791538605282322,0.41671709281115926,1.149584822617114,0.8711724019628997,1.5169732895738604
flu_vaccine,flu_vaccine,Flu vaccine in previous 5 years,integer,continuous,NA,NA,NA,NA,Flu vaccine in previous 5 years,31590578,4390,-0.026224883917380145,0.15985337873950636,-0.1640558624670402,0.8696871676016766,-0.3395317490538533,0.287081981219093,0.9741160019525257,0.7121036879328695,1.3325334517147265
efi_catNone,efi_cat,Frailty,factor,categorical,4,contr.treatment,treatment,TRUE,None,2141552,100,0,NA,NA,NA,NA,NA,NA,NA,NA
efi_catMild,efi_cat,Frailty,factor,categorical,4,contr.treatment,treatment,FALSE,Mild,9694147,660,-0.14220456246014704,0.3335392801575387,-0.42635027092755123,0.6698526318704643,-0.7959295389983378,0.5115204140780438,0.8674437918991265,0.4511616675861253,1.6678250528912524
efi_catModerate,efi_cat,Frailty,factor,categorical,4,contr.treatment,treatment,FALSE,Moderate,11403541,1630,-0.09060801803232456,0.3249346901868316,-0.2788499374450496,0.7803599892388672,-0.7274683081261948,0.5462522720615457,0.9133756675297955,0.4831305808575585,1.726769414088203
