variable,var_label,var_type,reference_row,row_type,label,N,term,var_class,var_nlevels,header_row,contrasts,contrasts_type,n_obs,n_event,estimate,std.error,statistic,or,or.ll,or.ul,conf.low,conf.high,ci,p.value
"age, degree = 2",Age,continuous,NA,label,Age,3668475,NA,nmatrix.2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"age, degree = 2",Age,continuous,NA,level,Age,3668475,"poly(age, degree = 2, raw = TRUE)1",nmatrix.2,NA,FALSE,NA,NA,3668475,91945,0.29252073032461834,0.027523652811476965,10.627976320157673,1.339800510775519,1.2694393700371422,1.4140615542921284,0.2385753620911389,0.3464660985580978,"0.24, 0.35",2.2085267269622863e-26
"age, degree = 2",Age,continuous,NA,level,Age²,3668475,"poly(age, degree = 2, raw = TRUE)2",nmatrix.2,NA,FALSE,NA,NA,3668475,91945,-0.0018153831917300503,1.5839377714536138e-4,-11.461202734398045,0.9981862636196543,0.9978764286844691,0.9984961947568184,-0.002125829290310222,-0.0015049370931498785,"0.00, 0.00",2.0662527996097246e-30
sex,Sex,dichotomous,NA,label,Sex,3668475,NA,factor,2,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,TRUE,level,Female,3668475,sexFemale,factor,2,FALSE,contr.treatment,treatment,2161147,52870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,FALSE,level,Male,3668475,sexMale,factor,2,FALSE,contr.treatment,treatment,1507328,39075,0.07539334798958244,0.0071507160244018856,10.54346833691926,1.0783082178458603,1.0633009808342835,1.0935272642762013,0.061378202118081315,0.08940849386108357,"0.06, 0.09",5.445286802742617e-26
imd,Deprivation,categorical,NA,label,Deprivation,3668475,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,TRUE,level,1 most deprived,3668475,imd1 most deprived,factor,5,FALSE,contr.treatment,treatment,510287,11381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,FALSE,level,2,3668475,imd2,factor,5,FALSE,contr.treatment,treatment,644780,15414,0.1051243731972873,0.013284989100501429,7.913019152821096,1.1108487615765525,1.0822976911387276,1.1401530107653068,0.07908627302529735,0.13116247336927728,"0.08, 0.13",2.5122069070733856e-15
imd,Deprivation,categorical,FALSE,level,3,3668475,imd3,factor,5,FALSE,contr.treatment,treatment,834903,20796,0.1650353976731912,0.012683499207440954,13.011819133979277,1.1794348672224664,1.15047649038866,1.2091221486413335,0.1401761960286646,0.1898945993177178,"0.14, 0.19",1.048167964730654e-38
