variable,var_label,var_type,reference_row,row_type,label,N,term,var_class,var_nlevels,header_row,contrasts,contrasts_type,n_obs,n_event,estimate,std.error,statistic,or,or.ll,or.ul,conf.low,conf.high,ci,p.value
"age, degree = 2",Age,continuous,NA,label,Age,2573567,NA,nmatrix.2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"age, degree = 2",Age,continuous,NA,level,Age,2573567,"poly(age, degree = 2, raw = TRUE)1",nmatrix.2,NA,FALSE,NA,NA,2573567,45360,-0.025260507612242744,0.03568294013026685,-0.7079155338664588,0.9750558694634012,0.9091930918097983,1.0456898068621943,-0.09519778513006474,0.044676769905579256,"-0.10, 0.04",0.4789977125613628
"age, degree = 2",Age,continuous,NA,level,Age²,2573567,"poly(age, degree = 2, raw = TRUE)2",nmatrix.2,NA,FALSE,NA,NA,2573567,45360,1.1284418657744094e-4,2.0400293644898975e-4,0.553149815104045,1.0001128505537222,0.9997130469572991,1.0005128140389414,-2.869942216029923e-4,5.126825947578742e-4,"0.00, 0.00",0.5801608279490043
sex,Sex,dichotomous,NA,label,Sex,2573567,NA,factor,2,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,TRUE,level,Female,2573567,sexFemale,factor,2,FALSE,contr.treatment,treatment,1587131,28990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,FALSE,level,Male,2573567,sexMale,factor,2,FALSE,contr.treatment,treatment,986436,16370,-0.03842752066952288,0.010411733813732494,-3.69078977209724,0.9623014491770254,0.9428631357345296,0.9821405079824147,-0.05883414396105643,-0.018020897377989335,"-0.06, -0.02",2.23558850649041e-4
imd,Deprivation,categorical,NA,label,Deprivation,2573567,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,TRUE,level,1 most deprived,2573567,imd1 most deprived,factor,5,FALSE,contr.treatment,treatment,533909,8840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,FALSE,level,2,2573567,imd2,factor,5,FALSE,contr.treatment,treatment,480853,8339,0.08658783908336642,0.015679534935084442,5.522347406466626,1.0904471473890047,1.0574459455537526,1.1244782641122475,0.05585651531626335,0.1173191628504695,"0.06, 0.12",3.345002691657266e-8
imd,Deprivation,categorical,FALSE,level,3,2573567,imd3,factor,5,FALSE,contr.treatment,treatment,551561,9814,0.1961789516391443,0.015592250639202108,12.581823893076109,1.2167446242980906,1.1801230373095966,1.2545026526500322,0.16561870194838654,0.22673920132990208,"0.17, 0.23",2.6582082103831492e-36
imd,Deprivation,categorical,FALSE,level,4,2573567,imd4,factor,5,FALSE,contr.treatment,treatment,513249,9531,0.27517694275612653,0.01572770494661378,17.49631899188018,1.316763646044431,1.2767926709182054,1.3579859432442651,0.24435120750129108,0.306002678010962,"0.24, 0.31",1.5283288755124606e-68
imd,Deprivation,categorical,FALSE,level,5 least deprived,2573567,imd5 least deprived,factor,5,FALSE,contr.treatment,treatment,493995,8836,0.29315634177648586,0.016422441654365,17.850959555613123,1.3406523740217238,1.2981873529692782,1.3845064688537436,0.2609689475957201,0.32534373595725163,"0.26, 0.33",2.841126228921836e-71
ethnicity,Ethnicity,categorical,NA,label,Ethnicity,2573567,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ethnicity,Ethnicity,categorical,TRUE,level,White,2573567,ethnicityWhite,factor,5,FALSE,contr.treatment,treatment,2426176,43589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ethnicity,Ethnicity,categorical,FALSE,level,Black,2573567,ethnicityBlack,factor,5,FALSE,contr.treatment,treatment,26247,303,-0.7749139142036537,0.0610527424649055,-12.692532438638473,0.4607434427579654,0.40878125674545024,0.5193107965237579,-0.8945750905922677,-0.6552527378150398,"-0.89, -0.66",6.504795034467305e-37
