variable,var_label,var_type,reference_row,row_type,label,N,term,var_class,var_nlevels,header_row,contrasts,contrasts_type,n_obs,n_event,estimate,std.error,statistic,or,or.ll,or.ul,conf.low,conf.high,ci,p.value
"age, degree = 2",Age,continuous,NA,label,Age,4319712,NA,nmatrix.2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"age, degree = 2",Age,continuous,NA,level,Age,4319712,"poly(age, degree = 2, raw = TRUE)1",nmatrix.2,NA,FALSE,NA,NA,4319712,68317,0.5546143411439606,0.036708570336573536,15.108579169899908,1.7412693193317872,1.6203900070465735,1.8711660953602998,0.4826668653603211,0.6265618169276,"0.48, 0.63",1.4217230671695762e-51
"age, degree = 2",Age,continuous,NA,level,Age²,4319712,"poly(age, degree = 2, raw = TRUE)2",nmatrix.2,NA,FALSE,NA,NA,4319712,68317,-0.0033775373801255702,2.1268055821987186e-4,-15.880799864338465,0.9966281600829816,0.9962128059628458,0.9970436873780095,-0.0037943836144483933,-0.002960691145802747,"0.00, 0.00",8.607375103148441e-57
sex,Sex,dichotomous,NA,label,Sex,4319712,NA,factor,2,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,TRUE,level,Female,4319712,sexFemale,factor,2,FALSE,contr.treatment,treatment,2568198,38000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,FALSE,level,Male,4319712,sexMale,factor,2,FALSE,contr.treatment,treatment,1751514,30317,0.1240311192419864,0.008090884349994332,15.329735771352768,1.1320510990231292,1.1142408013118743,1.1501460808925927,0.10817327731291874,0.13988896117105404,"0.11, 0.14",4.839511333566448e-53
imd,Deprivation,categorical,NA,label,Deprivation,4319712,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,TRUE,level,1 most deprived,4319712,imd1 most deprived,factor,5,FALSE,contr.treatment,treatment,599789,7943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,FALSE,level,2,4319712,imd2,factor,5,FALSE,contr.treatment,treatment,759936,11126,0.07826855776798974,0.015421927535574307,5.0751475512671735,1.0814130415487624,1.0492148632985765,1.1145993135811612,0.04804213522607756,0.10849498030990193,"0.05, 0.11",3.871954233380141e-7
imd,Deprivation,categorical,FALSE,level,3,4319712,imd3,factor,5,FALSE,contr.treatment,treatment,984798,15336,0.11979098747262591,0.014728135139983878,8.133479651976973,1.1272612152391521,1.0951861765240039,1.1602756450191543,0.09092437303881873,0.1486576019064331,"0.09, 0.15",4.171401340325388e-16
imd,Deprivation,categorical,FALSE,level,4,4319712,imd4,factor,5,FALSE,contr.treatment,treatment,997788,16601,0.18137920252196438,0.014626648278812935,12.400599171082597,1.1988697075252275,1.1649888296412882,1.2337359286648095,0.15271149868095626,0.2100469063629725,"0.15, 0.21",2.593768081464294e-35
imd,Deprivation,categorical,FALSE,level,5 least deprived,4319712,imd5 least deprived,factor,5,FALSE,contr.treatment,treatment,977401,17311,0.23962086796648155,0.014508203079398601,16.51623337880754,1.2707672703997641,1.235141220901213,1.3074209071744871,0.21118531245046718,0.2680564234824959,"0.21, 0.27",2.803700625979923e-61
ethnicity,Ethnicity,categorical,NA,label,Ethnicity,4319712,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ethnicity,Ethnicity,categorical,TRUE,level,White,4319712,ethnicityWhite,factor,5,FALSE,contr.treatment,treatment,4078947,66001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ethnicity,Ethnicity,categorical,FALSE,level,Black,4319712,ethnicityBlack,factor,5,FALSE,contr.treatment,treatment,60416,403,-0.7743739900929301,0.051156953732301134,-15.137218571401775,0.46099227642117047,0.41701221002895794,0.509610687191187,-0.8746397769670222,-0.6741082032188379,"-0.87, -0.67",9.202418375897356e-52
ethnicity,Ethnicity,categorical,FALSE,level,South Asian,4319712,ethnicitySouth Asian,factor,5,FALSE,contr.treatment,treatment,129596,1387,-0.3698195633713426,0.028807441507394227,-12.837639999248742,0.6908589756561981,0.6529327695971427,0.7309881606022243,-0.4262811112125795,-0.31335801553010567,"-0.43, -0.31",1.0090374514571507e-37
