.level1,.level2,n,pct,pct_nonmiss,redacted
East,Ox-AZ,459242,0.23094415643259342,0.23096719228020518,FALSE
East Midlands,Ox-AZ,350770,0.17639651663509404,0.1764132244788751,FALSE
London,Ox-AZ,71470,0.03594200158206762,0.03594450253301367,FALSE
North East,Ox-AZ,93786,0.04716331654879945,0.047167918211294534,FALSE
North West,Ox-AZ,184135,0.09259722097200103,0.09260726142320515,FALSE
South East,Ox-AZ,141302,0.07105827047724031,0.07106520353882605,FALSE
South West,Ox-AZ,316750,0.15928745605437566,0.15930350045238673,FALSE
West Midlands,Ox-AZ,75341,0.037887653083648935,0.03789134973191245,FALSE
Yorkshire and The Humber,Ox-AZ,295547,0.1486263519361219,0.1486398473502811,FALSE
(missing),Ox-AZ,196,9.705627805768763e-5,0,FALSE
East,P-B,620599,0.23626625895703593,0.23630083131878238,FALSE
East Midlands,P-B,457086,0.1740145261784151,0.174041211449224,FALSE
London,P-B,117894,0.04488397254964964,0.04488961504529741,FALSE
North East,P-B,122374,0.04658762724111492,0.04659543107836892,FALSE
North West,P-B,242235,0.09221892362525536,0.09223400597568679,FALSE
South East,P-B,192332,0.07322174617182128,0.07323281456980119,FALSE
South West,P-B,436177,0.16605474689592212,0.16607984818237306,FALSE
West Midlands,P-B,88158,0.03356180706938652,0.03356726112578527,FALSE
Yorkshire and The Humber,P-B,349454,0.13303925144268144,0.133058981254681,FALSE
(missing),P-B,399,1.5113986871770194e-4,0,FALSE
East,Unknown,315,0.16763925729442972,0.16666666666666666,FALSE
East Midlands,Unknown,504,0.26578249336870025,0.26666666666666666,FALSE
London,Unknown,105,0.05570291777188329,0.05555555555555555,FALSE
North East,Unknown,49,0.02440318302387268,0.025925925925925925,FALSE
North West,Unknown,378,0.2,0.2,FALSE
South East,Unknown,112,0.058355437665782495,0.05925925925925926,FALSE
South West,Unknown,133,0.07214854111405836,0.07037037037037037,FALSE
West Midlands,Unknown,77,0.040318302387267906,0.040740740740740744,FALSE
Yorkshire and The Humber,Unknown,217,0.1156498673740053,0.11481481481481481,FALSE
(missing),Unknown,0,0,0,FALSE
